SN Entity Name No. of staff paid using wrong scales Under payment arising from wrong scales Over payment arising from wrong scales No. of staff paid using wrong level/notches Under payment arising from wrong level/notches Over payment arising from wrong level/notches;;;;;;;
91;Ntungamo DLG;;;;38;77,373,232;57,891,803
92 Nwoya DLG 88 39,414,847 85,363,741;;;;;;;
93;Obongi DLG;4;7,265,792;-;199;70,737,767;3,798,637
94 Omoro DLG - - - 315 24,376,694 52,233,032;;;;;;;
95;Otuke DLG;17;1,814,595;177,032,782;-;-;-
96 Oyam DLG 38 13,951,723 70,258,148 790 39,126,815 154,466,990;;;;;;;
97;Pader DLG;-;-;-;391;2,317,452;191,600
98 Pakwach DLG 2 - 18,607,482 - - -;;;;;;;
99;Pallisa DLG;4;584,148;3,711,420;273;6,434,068;62,905,178
100 Rukiga DLG 10 191,531 194,053 - - -;;;;;;;
101;Rwampara DLG;-;-;-;443;6,307,817;5,880,119
102 Sheema DLG 74 7,495,398 14,067,459;;;;;;;
103;Sironko DLG;10;119,920;1,980,710;453;43,856,129;58,378,657
104 Soroti DLG 7 4,261,245 3,744,507 42 16,978,770 -;;;;;;;
105;Tororo DLG;22;12,150,421;22,627,236;588;73,940,429;199,769,615
106 Wakiso DLG - - - 86 6,285,305 -;;;;;;;
107;Yumbe DLG;7;2,265,548;14,018,628;1,115;21,182,667;17,762,314
108 Zombo DLG - - - 363 76,580,061 -;;;;;;;
;;1,264;886,806,364;532,949,259;28,172;2,652,787,176;2,386,682,931
