SN Entity Name Approved budget (UGX) Release (UGX) % funding Expenditure (UGX) Unspent balance % absorption;;;;;;;
73;Kyenjojo DLG;23,970,046,591;23,970,046,591;100%;23,007,362,204;962,684,387;96%
74 Kyotera DLG 24,174,866,868 24,174,866,867 100% 23,356,748,155 818,118,712 97%;;;;;;;
75;Lamwo DLG;11,984,323,910;11,984,323,907;100%;10,492,318,855;1,492,005,052;88%
76 Lira DLG 26,522,903,923 26,522,903,919 100% 21,683,419,464 4,839,484,455 82%;;;;;;;
77;Luuka DLG;18,401,484,263;18,401,484,263;100%;17,761,693,639;639,790,624;97%
78 Luwero DLG 46,331,161,230 46,331,161,229 100% 45,710,524,143 620,637,086 99%;;;;;;;
79;Lwengo DLG;19,333,094,646;19,333,094,645;100%;18,562,007,203;771,087,442;96%
80 Lyantonde DLG 11,184,524,017 11,184,524,016 100% 10,816,081,122 368,442,894 97%;;;;;;;
81;Madi-Okollo DLG;11,376,849,365;11,376,849,365;100%;9,896,924,970;1,479,924,395;87%
82 Manafwa DLG 18,203,387,289 18,203,387,289 100% 17,988,140,081 215,247,208 99%;;;;;;;
83;Maracha DLG;18,842,106,883;18,578,070,217;99%;15,856,531,167;2,721,539,050;85%
84 Masaka DLG 13,933,029,085 13,933,029,084 100% 12,830,800,908 1,102,228,176 92%;;;;;;;
85;Masindi DLG;18,647,303,219;18,647,303,213;100%;16,785,798,709;1,861,504,504;90%
86 Mayuge DLG 27,490,915,125 27,490,915,123 100% 27,354,911,792 136,003,331 100%;;;;;;;
87;Mbale DLG;28,632,307,089;28,438,231,917;99%;27,324,583,982;1,113,647,935;96%
88 Mbarara DLG 20,977,512,841 20,977,512,841 100% 19,932,050,137 1,045,462,704 95%;;;;;;;
89;Mitooma DLG;19,600,888,251;19,554,840,494;100%;18,649,823,932;905,016,562;95%
90 Mityana DLG 22,321,206,446 22,321,206,442 100% 21,938,232,369 382,974,073 98%;;;;;;;
91;Moroto DLG;9,794,417,292;9,794,417,288;100%;7,979,169,707;1,815,247,581;81%
92 Moyo DLG 15,629,773,798 15,629,773,798 100% 15,535,223,243 94,550,555 99%;;;;;;;
93;Mpigi DLG;23,097,325,180;23,097,325,179;100%;21,998,315,683;1,099,009,496;95%
94 Mubende DLG 19,251,853,116 19,251,853,116 100% 17,886,713,055 1,365,140,061 93%;;;;;;;
95;Mukono DLG;37,042,074,065;37,042,074,063;100%;35,762,862,411;1,279,211,652;97%
96 Nakapiripirit DLG 8,015,431,352 7,946,716,446 99% 6,737,651,892 1,209,064,554 85%;;;;;;;
97;Nakaseke DLG;21,041,974,136;21,041,974,134;100%;21,090,108,900;-48,134,766;100%
98 Nakasongola DLG 20,337,859,061 20,324,459,060 100% 20,206,732,974 117,726,086 99%;;;;;;;
99;Namayingo DLG;17,354,543,860;17,291,909,473;100%;15,544,560,031;1,747,349,442;90%
100 Namisindwa DLG 17,181,214,818 17,181,214,818 100% 16,646,642,549 460,470,348 97%;;;;;;;
101;Namutumba DLG;20,495,416,909;20,495,416,909;100%;19,132,547,587;1,362,869,322;93%
102 Napak DLG 9,537,111,166 9,537,245,300 100% 8,751,352,032 785,893,268 92%;;;;;;;
103;Nebbi DLG;22,727,411,267;22,727,411,263;100%;21,245,113,420;1,482,297,843;93%
104 Ngora DLG 12,991,399,015 12,991,399,014 100% 12,803,000,000 188,399,014 99%;;;;;;;
105;Ntoroko DLG;14,305,648,823;14,305,648,823;100%;11,238,623,906;3,067,024,917;79%
106 Ntungamo DLG 38,932,143,477 38,932,143,477 100% 37,762,453,879 1,169,689,598 97%;;;;;;;
107;Nwoya DLG;13,120,716,805;13,120,716,801;100%;11,441,968,812;1,678,747,989;87%
108 Obongi DLG 7,783,955,441 7,783,955,441 100% 5,870,473,221 1,913,482,220 75%;;;;;;;
109;Omoro DLG;17,832,400,482;17,832,400,480;100%;16,596,098,934;1,236,301,546;93%
110 Otuke DLG 11,029,204,450 11,029,204,449 100% 10,970,229,597 58,974,852 99%;;;;;;;
