27;Mityana DLG;100%;982,194,028;982,194,028;959,359,474;22,834,554;98%;98%;197;52;52;0;0
28 Mpigi DLG 97% 1,040,643,842 1,008,928,121 682,186,048 326,742,073 68% 53% 82 12 19 0 7;;;;;;;;;;;;;
29;Mubende DLG;101%;1,785,183,070;1,805,183,070;360,241,350;1,444,941,720;20%;0%;113;30;13;17;0
30 Mukono DLG 97% 1,860,330,289 1,810,490,757 1,192,689,171 617,801,586 66% 56% 603 84 56 28 0;;;;;;;;;;;;;
31;Nakaseke DLG;100%;1,104,507,315;1,104,507,315;687,041,722;417,465,593;62%;50%;877;20;20;0;0
32 Ntungamo DLG 94% 1,848,548,683 1,740,797,344 229,477,125 1,511,320,219 13% 0% 0 0 0 0 0;;;;;;;;;;;;;
33;Nwoya DLG;100%;1,506,270,774;1,506,270,774;1,282,287,149;223,983,625;85%;80%;120;6;4;2;0
34 Omoro DLG 100% 773,440,506 773,440,506 753,058,716 20,381,790 97% 98% 55 13 13 0 0;;;;;;;;;;;;;
35;Rakai DLG;98%;1,243,289,966;1,212,437,391;450,270,049;762,167,342;37%;10%;170;16;3;13;0
36 Rukungiri DLG 97% 1,222,690,787 1,182,235,981 1,182,235,981 0 100% 100% 554 42 42 0 0;;;;;;;;;;;;;
37;Sembabule DLG;99%;1,321,944,507;1,312,934,328;381,925,415;931,008,913;29%;4%;143;18;3;15;0
38 Sironko DLG 100% 960,526,097 960,526,097 244,992,927 715,533,170 26% 0% 224 0 0 0 0;;;;;;;;;;;;;
39;Tororo DLG;97%;2,146,943,614;2,082,453,632;421,412,670;1,661,040,962;20%;0%;17;17;0;17;0
40 Wakiso DLG 100% 3,661,748,235 3,661,748,235 970,978,292 2,690,769,943 27% 2% 222 11 8 3 0;;;;;;;;;;;;;
;;98%;50,081,789,4;49,038,618,1;20,723,330,0;28,315,288,1;42%;;8,781;642;479;190;27
;;;51;92;43;49;;;;;;;
