33;Gulu City;2;98,416,284;76;Kyankwanzi DLG;12;510,599,05;119;Sembabule DLG;1;3,600,000
;;;;;;;6;;;;
34 Hoima DLG 1 10,563,168 77 Kyegegwa DLG 4 65,020,108 120 Serere DLG 3 123,071,820;;;;;;;;;;;
35;Ibanda DLG;1;37,695,953;78;Kyenjojo DLG;5;121,934,63;121;Sheema MC;1;48,579,405
;;;;;;;6;;;;
36 Iganga DLG 2 77,997,424 79 Kyotera DLG 409,104,80 0 9 122 Sironko DLG 2 78,101,419;;;;;;;;;;;
37;Iganga MC;3;62,514,514;80;Lamwo DLG;1;10,482,346;123;Soroti City;4;83,235,068
38 Isingiro DLG 1 54,128,401 81 Lira City 138,901,76 3 4 124 Soroti DLG 7 223,858,840;;;;;;;;;;;
39;Jinja City;3;35,345,286;82;Lira DLG;6;130,107,42;125;Tororo DLG;2;82,893,177
;;;;;;;2;;;;
40 Jinja DLG 3 83,733,164 83 Lugazi MC 2 88,732,373 126 Tororo MC 1 50,746,626;;;;;;;;;;;
41;Kaabong DLG;6;53,599,604;84;Luuka DLG;1;36,512,261;127;Wakiso DLG;4;195,386,238
42 Kabale DLG 4 111,011,684 85 Luwero DLG 348,086,63 8 7 128 Zombo DLG 1 31,921,061;;;;;;;;;;;
43;Kabale MC;2;67,185,245;86;Lyantonde DLG;2;57,265,549;129;Mbarara DLG;1;23,939,149
Total 609 19,026,546,94 8;;;;;;;;;;;
