Entity Name Amount deducted from staff without letters of undertaking No. of staff witho ut letters of under taking Amount deducted past end date Average length of abnormal dates (years ranging from to) No. of staff with unre alist ic end date s Amount deducted from staff with abnormal end dates Amount deducted from staff with un- approved loans No. of staff with un- appr oved loans No. of staff with loan s ded ucti ons past end date s No. of staff from which Loan deduc tions were over and above the appro ved amou nts Amount deducted over and above the approved amounts Variance Amount between My approvals and active deductions Variance Amount between monthly deduction amounts in active deductions report No. of staff from which Variance between monthly deductio n amounts in active deductio ns report No. of staff with varia nce betw een My appro vals and active deduc tions;;;;;;;;;;;;;;;
Kiruhura DLG;0;0;12;4,272,887;0;;0;34;41,845,063;114;114,624,153;16;162,858;100;11,345,545
Kiryandongo DLG 316 452,483,491 20 1,298,454 2 112 to 864 2,967,888 16 2,132,833 0 0 0 0;;;;;;;;;;;;;;;
Kisoro DLG;0;0;37;21,075,104;57;9 to 1412;911,065,027;0;0;0;0;0;0;0;0
Kitagwenda DLG 0 0 0 0 23 9 to 381 27,025,144 129 296,591,449 284 20,704,464 21 781,834 0 0;;;;;;;;;;;;;;;
Kitgum DLG;0;0;0;0;0;;0;29;1,614,671;0;0;0;0;0;0
Koboko DLG 0 0 36 19,825,094 0 0 56 4,262,404 12 1,753,638;;;;;;;;;;;;;;;
Kole DLG;;;;;1;1 to 110;3,171,924;;;;;15;285,972;15;61,510
Kumi DLG 0 0 32 7,880,110 49 9 to 1412 96,238,006 17 12,996,532 41 5,330,490;;;;;;;;;;;;;;;
Kwania DLG;198;414,929,083;;;32;9 to 48;59,741,926;137;171,792,320;80;8,803,583;;;;
Kween DLG 0 0 27 27,473,090 10 1,814,684 0 0;;;;;;;;;;;;;;;
Kyankwanzi DLG;634;1,173,594,581;45;27,622,355;;;;6;7,604,761;16;14,632,129;0;0;0;0
Kyegegwa DLG 0 0 12 6,019,096 0 0 7 5,426,662 58 3,161,051 15 1,592,995 122 9,945,590;;;;;;;;;;;;;;;
Kyenjojo DLG;0;0;72;80,792,810;19;9 to 52;26,582,154;75;77,858,388;174;8,367,152;112;6,695,073;232;9,665,444
Kyotera DLG 0 0 0 0 0 0 0 0 0 0 86 5,045,779 130 3,206,545;;;;;;;;;;;;;;;
Lamwo DLG;;;;;;;;8;6,995,325;;;;;;
Lira DLG 0 0 6 5,787,997 5 10,293,377 22 3,502,585 70 2,344,802;;;;;;;;;;;;;;;
Luuka DLG;833;151,052,362;58;48,093,072;;;;676;73,545,618;20;2,614,734;;;;
Luwero DLG 0 0 19 7,710,040 196 9 to 98 318,878,701 419 362,326,533 550 20,483,256;;;;;;;;;;;;;;;
Lwengo DLG;0;0;0;0;0;;0;0;0;0;0;84;2,336,259;216;25,808,005
Lyantonde DLG 70 69,046,902 1 184,303 0 0 110 144,360,275 42 3,774,678 34 5,485,359 92 662,780;;;;;;;;;;;;;;;
Madi0Okollo DLG;0;0;13;2,509,346;0;;0;2;2,358,510;0;0;177;21,268,304;107;17,256,610
Manafwa DLG 225 421,246,166 10 1,614,447 848 156,970,488;;;;;;;;;;;;;;;
Maracha DLG;0;0;0;0;8;22 to 89;15,547,450;16;12,920,916;0;0;0;0;0;0
Masaka DLG 0 0 18 5,146,832 12 10 to 101 13,082,389 86 60,979,404 0 0 522 2,529,692 686 116,243,688;;;;;;;;;;;;;;;
Masindi DLG;0;0;33;27,367,073;17;9 to 18;24,740,797;0;0;;;0;0;0;0
Mayuge DLG 35 27,064,037 64 9 to 251 126,280,911 420 767,021,671 125 13,064,527;;;;;;;;;;;;;;;
Mbale DLG;1,245;196,544,619;92;35,297,096;106;9 to 1541;155,194,966;146;25,033,869;848;156,970,488;0;0;0;0
Mbarara DLG 14 26,470,745 6 31,265,414 8 9 to 139 13,679,431 18 17,160,490 311 7,299,179 272 2,118,408;;;;;;;;;;;;;;;
