SN Entity Name Absorption Excess release of wage Transfer LLGs to Off Budget Financing/Receipts;;;;;;;;
warrants Expenditure Unspent % Absorbed;;;;;;;;
156 Sheema DLG 30,512,174,022 27,211,027,636 3,301,146,386 89% 0 0 0;;;;;;;;
157;Sheema MC;14,776,377,415;13,914,040,913;862,336,502;94%;0;0;0
158 Sironko DLG 40,673,330,239 38,374,226,581 2,299,103,658 94% 0 0 0;;;;;;;;
159;Soroti City;27,191,436,469;26,510,579,363;680,857,106;97%;0;0;0
160 Soroti DLG 32,154,680,153 29,546,319,610 2,608,360,543 92% 0 0 0;;;;;;;;
161;Terego DLG;51,009,048,929;0;51,009,048,92;0%;6,426,650,108;0;0
;;;;9;;;;
162 Tororo MC 20,366,168,079 19,681,780,810 684,387,269 97% 0 0 0;;;;;;;;
163;Tororo DLG;71,852,450,728;61,209,067,941;10,643,382,78;85%;0;1,210,847,439;0
;;;;7;;;;
164 Wakiso DLG 86,711,358,646 79,119,713,715 7,591,644,931 91% 0 0 0;;;;;;;;
165;Yumbe DLG;87,975,942,483;74,669,888,209;13,306,054,27;85%;2,447,372,714;0;1,803,548,082
;;;;4;;;;
166 Zombo DLG 30,237,259,913 26,476,136,554 3,761,123,359 88% 0 0 0;;;;;;;;
167;Omoro DLG;26,863,805,127;25,046,339,947;1,817,465,180;93%;0;0;0
168 Kitgum MC 17,240,456,470 16,734,894,910 505,561,560 97% 0 0 0;;;;;;;;
169;Bududa DLG;34,905,387,096;31,716,472,984;3,188,914,112;91%;0;0;0
Total 5,426,900,787, 092 4,723,235,613, 153 703,665,173, 939 87% 54,585,930,745 6,493,901,8 77 3,670,739,179;;;;;;;;
