11;Katakwi DLG;7;22,571,164;20,949,565;7;2,175,600;0
12 Kiboga DLG 4 1,893,498 0 4 326,173 0;;;;;;;
13;Kikuube DLG;5;7,908,859;24,438,088;6;88,634;256,233
14 Kiryandongo DLG 12 37,442,310 5,990,065 1 269,741 0;;;;;;;
15;Kitgum DLG;6;2,976,777;0;3;167,283;0
16 Koboko DLG 6 4,509,870 1,189,700 0 0 0;;;;;;;
17;Kyankwanzi DLG;5;0;472,181;0;0;0
18 Kyotera DLG 14 4,796,691 631,238 20 26,431,230 3,361,191;;;;;;;
19;Lamwo DLG;2;4,550,166;1,302,142;2;1,245,660;0
20 Lwengo DLG 8 776,331 2,430,141 8 105,051 512,757;;;;;;;
21;Lyantonde DLG;1;2,262,466;0;1;50,278;0
22 Madi0Okollo DLG 3 0 1,729,513 2 0 2,269,386;;;;;;;
23;Masindi DLG;20;55,896,349;23,011,404;21;628,379;255,682
24 Mubende DLG 4 59,371,898 0 5 24,832,927 0;;;;;;;
25;Mukono DLG;17;54,884,324;49,065,820;0;0;0
26 Namisindwa DLG 28 13,563,515 2,319,952 28 395,935 420,120;;;;;;;
27;Namutumba DLG;3;0;14,892,594;2;0;157,645
28 Napak DLG 2 349,287 8,902,518 0 0 0;;;;;;;
29;Omoro DLG;11;9,599,685;2,008,334;11;106,664;22,315
30 Pakwach DLG 3 7,664,267 5,567,181 3 84,252 4,024,152;;;;;;;
31;Pallisa DLG;5;1,062,400;1,486,749;5;613,916;11,804
32 Rubirizi DLG 1 21,904,611 0 4 875,070 0;;;;;;;
33;Sironko DLG;8;2,781,855;632,440;9;182,918;2,180,651
34 Terego DLG 3 3,850,502 0 3 79,460 0;;;;;;;
35;Tororo DLG;2;0;9,346,921;19;0;21,257,937
36 Wakiso DLG 1 53,862 0 0 0 0;;;;;;;
37;Yumbe DLG;7;6,056,595;5,945,586;0;0;0
Total 222 442,670,972 276,463,546 201 61,942,500 53,663,042;;;;;;;
