74 Napak DLG 28.2 13.2 39,150,000 18,370,800 9 7 24,004,000 18,582,000 0 0 0 0;;;;;;;;;;;;;
75;Nebbi MC;162.2;161.4;147,458,648;143,430,859;19.4;11.4;69,360,000;34,420,485;5.2;3.2;64,212,870;33,720,468
76 Ngora DLG 168 115.9 190,000,000 94,205,000 50.2 46 31,400,000 30,103,700 0.6 0 15,367,000 0;;;;;;;;;;;;;
77;Njeru MC;148.6;102.6;167,240,000;156,496,313;0;0;0;0;41;31.6;453,529,855;264,080,658
78 Ntoroko DLG 39 33 46,700,000 19,513,000 15 0 23,391,000 0 2.5 3.5 110,000,000 78,166,000;;;;;;;;;;;;;
79;Ntungamo MC;31;31;55,520,000;53,080,000;27;34;135,000,000;209,546,000;1;0;183,000,000;7,500,000
80 Otuke DLG 150 0 101,033,000 0 28.5 28.5 55,321,000 54,520,000 2 1.2 56,367,000 8,870,000;;;;;;;;;;;;;
81;Oyam DLG;0;0;0;0;83.75;14.95;312,280,000;122,906,000;0;0;0;0
82 Oyam DLG 0 0 0 0 83.75 14.95 312,280,000 122,906,000 0 0 0 0;;;;;;;;;;;;;
83;Pakwach DLG;268;22;84,135,524;11,164,179;26;22;130,200,000;108,759,076;0;0;0;0
84 Pallisa DLG 230 145.5 106,855,420 39,440,000 10.5 8.5 132,478,960 59,721,000 0 0 0 0;;;;;;;;;;;;;
85;Rubanda DLG;60;51.7;49,820,000;38,914,400;72.8;10.7;140,852,689;26,592,512;0;0;0;0
86 Rubirizi DLG 128 35 48,802,000 14,800,000 36 31.6 160,000,000 104,417,602 0 0 0;;;;;;;;;;;;;
87;Rukiga DLG;0;0;0;0;75;75;81,000,000;81,000,000;5;5;36,000,000;36,000,000
88 Rukungiri DLG 100 25.9 136,598,000 39,874,738 183 28.2 186,208,820 119,761,098 0 0 0 0;;;;;;;;;;;;;
89;Rwampara DLG;60;0;70,500,000;0;26;26;86,000,000;80,249,000;0;0;0;0
90 Sembabule DLG 0 0 0 0 86.64 41.25 380,790,000 150,000,000 0 0 0 0;;;;;;;;;;;;;
91;Serere DLG;379.21;240.1;173,643,000;70,540,000;0;0;0;0;14.7;19.5;65,368,000;62,217,500
92 Sironko DLG 242 242 129,511,602 66,204,000 52 37 78,000,000 44,033,000 14 14 205,795,000 93,321,000;;;;;;;;;;;;;
93;Soroti DLG;168.2;168.2;123,000,000;77,499,880;38.1;25.5;104,000,000;70,289,400;10.2;0;82,000,000;0
94 Tororo DLG 529 535.3 215,122,000 72,662,000 128.7 123.1 183,692,000 175,419,370 114 0 170,000,000 0;;;;;;;;;;;;;
95;Tororo MC;72.6;48.4;172,000,000;92,400,000;28;30.65;82,000,000;68,221,141;11.2;18.2;168,000,000;114,378,000
96 Zombo DLG 288 58 172,300,000 34,924,053 26 19 76,000,000 56,068,841 2 2 21,113,990 21,113,990;;;;;;;;;;;;;
;Total;16,067;7,385;8,494,132,;4,089,157,;6,720;4,924;15,394,408;10,306,553;845;378;8,675,569,7;4,376,557,
;;;;458;242;;;459;352;;;61;279
