21;Katakwi DLG;2,136,162,000;2,136,162,000;553,271,620;1,582,890,380
22 Kazo DLG 1,234,328,086 1,234,328,086 370,298,425 864,029,661;;;;;
23;Kiruhura DLG;3,626,296,934;3,626,296,934;883,171,494;2,743,125,440
24 Kitagwenda DLG 1,004,760,793 1,004,760,793 63,609,236 941,151,557;;;;;
25;Koboko;617,500,000;617,500,000;185,250,000;432,250,000
26 Koboko DLG 1,339,266,988 1,339,266,988 - 1,339,266,988;;;;;
27;Kole DLG;1,124,587,408;1,124,587,408;-;1,124,587,408
28 Kumi DLG 1,209,407,573 1,209,407,573 - 1,209,407,573;;;;;
29;Kyenjojo DLG;5,645,295,808;5,645,295,808;2,687,505,537;2,957,790,271
30 Lwengo DLG 1,920,374,181 1,572,093,781 - 1,572,093,781;;;;;
31;Maracha DLG;5,081,827,353;3,616,146,706;3,068,469,875;547,676,831
32 Mitooma DLG 1,968,827,575 1,968,827,575 504,649,000 1,464,178,575;;;;;
33;Moyo DLG;606,966,721;606,966,721;299,368,912;307,597,809
34 Nakaseke DLG 1,331,654,302 1,331,654,302 552,634,095 779,020,207;;;;;
35;Nebbi DLG;4,903,975,634;4,903,975,634;2,343,750,153;2,560,225,481
36 Pakwach DLG 2,880,993,432 2,880,993,432 2,079,770,185 801,223,247;;;;;
37;Rubanda DLG;2,685,000,000;2,550,461,621;1,107,668,839;1,442,792,782
38 Rubirizi DLG 2,078,380,811 2,078,380,811 8,800,000 2,069,580,811;;;;;
39;Rukungiri DLG;2,090,390,500;2,090,390,500;1,505,081,159;585,309,341
40 Sheema DLG 2,165,067,757 2,165,067,757 972,196,519 1,192,871,238;;;;;
41;Sironko DLG;1,658,859,727;1,658,859,727;500,642,362;1,158,217,365
42 Wakiso DLG 1,373,169,216 1,373,169,216 314,651,999 1,058,517,217;;;;;
43;Zombo DLG;1,553,346,819;1,553,346,819;481,192,683;1,072,154,136
Total 85,233,453,251 81,640,150,547 33,044,094,426 47,691,128,195;;;;;
