SN Entity Name Strategic plan Local Revenue Overall budget performance;;;;;;;;;;
Approved Budget warrants Uncollected % Approved warrants Variance collecte Budget d %fu ndin g;;;;;;;;;;
78 Kisoro DLG Not approved 656,867,000 415,540,074 241,326,926 63% 46,884,681,674 42,882,291,400 4,002,390,274 91%;;;;;;;;;;
79;Kisoro MC;Approved;847,953,750;437,549,299;410,404,451;52%;4,847,827,515;4,326,154,385;521,673,130;89%
80 Kitagwenda DLG Not approved 718,658,000 485,329,996 233,328,004 68% 22,409,396,887 20,145,817,767 2,263,579,120 90%;;;;;;;;;;
81;Kitgum DLG;Not approved;246,456,410;209,159,099;37,297,311;85%;39,622,382,728;33,271,306,168;6,351,076,560;84%
82 Koboko MC Not approved 470,811,429 262,191,435 208,619,994 56% 18,282,220,808 13,888,053,208 4,394,167,600 76%;;;;;;;;;;
83;Koboko DLG;Approved;600,020,900;458,581,155;141,439,745;76%;40,917,533,218;35,409,866,711;5,507,666,507;87%
84 Kole DLG Not approved 470,000,000 327,984,617 142,015,383 70% 30,655,352,096 28,474,192,096 2,181,160,000 93%;;;;;;;;;;
85;Kumi DLG;Not approved;595,722,000;242,114,867;353,607,133;41%;35,434,388,879;33,007,726,183;2,426,662,696;93%
86 Kumi MC Approved 289,028,880 262,191,435 26,837,445 91% 8,650,048,032 8,126,023,961 524,024,071 94%;;;;;;;;;;
87;Kwania DLG;Not approved;516,876,000;230,389,887;286,486,113;45%;26,320,680,937;23,635,325,330;2,685,355,607;90%
88 Kween DLG Not approved 245,249,248 245,249,248 0 100% 25,314,638,065 24,080,850,750 1,233,787,315 95%;;;;;;;;;;
89;Kyankwanzi DLG;Not approved;550,906,000;486,333,433;64,572,567;88%;33,524,306,692;29,961,018,886;3,563,287,806;89%
90 Kyegegwa DLG Not approved 6,536,925,813 1,029,060,000 5,507,865,81 16% 3 57,194,657,129 51,906,962,379 5,287,694,750 91%;;;;;;;;;;
91;kyenjojo DLG;Not approved;775,927,315;1,063,101,145;-287,173,830;137%;51,421,138,436;48,783,757,564;2,637,380,872;95%
92 Kyotera DLG Approved 1,027,745,000 549,110,338 478,634,662 53% 40,074,208,794 39,193,598,994 880,609,800 98%;;;;;;;;;;
93;Lamwo DLG;Not approved;657,100,000;481,152,000;175,948,000;73%;59,156,122,224;48,320,085,318;10,836,036,906;82%
94 Lira City Approved 2,182,903,000 2,293,751,035 -110,848,035 105% 54,602,635,918 42,012,644,858 12,589,991,060 77%;;;;;;;;;;
95;Lira DLG;Not approved;549,082,499;411,203,136;137,879,363;75%;40,601,721,497;39,485,569,918;1,116,151,579;97%
96 Lugazi MC Approved 1,379,000,000 1,026,641,138 352,358,862 74% 27,466,324,729 27,142,890,168 323,434,561 99%;;;;;;;;;;
97;Luuka DLG;Not approved;152,792,782;131,992,675;20,800,107;86%;31,893,366,224;30,651,591,016;1,241,775,208;96%
98 Luwero DLG Approved 3,730,453,815 3,445,895,462 284,558,353 92% 72,575,437,151 70,065,278,636 2,510,158,515 97%;;;;;;;;;;
99;Lwengo DLG;Approved;701,952,305;324,712,132;377,240,173;46%;34,871,379,840;32,148,893,519;2,722,486,321;92%
100 Lyantonde DLG Not approved 190,414,000 163,022,974 27,391,026 86% 20,615,225,777 18,928,350,342 1,686,875,435 92%;;;;;;;;;;
101;Madi Okollo DLG;Not approved;400,000,000;399,950,000;50,000;100%;43,238,262,670;30,882,287,746;12,355,974,924;71%
102 Makindye- Ssabagabo MC Not approved 9,340,000,000 4,055,328,959 5,284,671,04 43% 1 27,649,607,473 21,970,955,485 5,678,651,988 79%;;;;;;;;;;
103;Manafwa DLG;Approved;895,377,756;217,345,846;678,031,910;24%;35,400,422,667;32,314,022,238;3,086,400,429;91%
104 Maracha DLG Approved 183,194,659 231,876,627 -48,681,968 127% 32,902,368,842 30,589,523,882 2,312,844,960 93%;;;;;;;;;;
105;Masaka DLG;Approved;355,402,791;199,538,323;155,864,468;56%;21,234,476,329;19,984,292,997;1,250,183,332;94%
106 Masaka City Approved 4,625,254,101 2,077,839,249 2,547,414,85 45% 2 42,593,236,710 39,377,424,934 3,215,811,776 92%;;;;;;;;;;
107;Masindi MC;Not approved;1,200,000,000;830,374,049;369,625,951;69%;13,419,719,498;13,208,468,876;211,250,622;98%
108 Masindi DLG Not approved 243,760,982 943,457,214 -699,696,232 387% 35,752,366,348 31,043,870,003 4,708,496,345 87%;;;;;;;;;;
