SN Local Government Cummulative Amount Disbursed Cummulative Amount %recovery Recovered Amount Due as at 30/June/2022;;;;;
139;NAMUTUMBA;1,376,411,000;166,904,000;1,209,507,000;12%
140 NANSANA MC 717,524,000 98,178,735 619,345,265 14%;;;;;
141;NAPAK;1,392,853,326;249,371,430;1,143,481,896;18%
142 NEBBI 994,193,550 234,182,260 760,011,290 24%;;;;;
143;NEBBI MC;254,455,000;36,107,650;218,347,350;14%
144 NGORA 1,089,212,532 137,623,841 951,588,691 13%;;;;;
145;NJERU MC;321,075,400;186,040,690;135,034,710;58%
146 NTOROKO 1,020,711,500 346,147,706 674,563,794 34%;;;;;
147;NTUNGAMO;1,265,443,350;290,764,025;974,679,325;23%
148 NTUNGAMO MC 549,417,000 315,379,503 234,037,497 57%;;;;;
149;NWOYA;1,057,363,400;276,319,000;781,044,400;26%
150 OBONG 330,774,000 65,000,000 265,774,000 20%;;;;;
151;OMORO;909,296,000;158,780,000;750,516,000;17%
152 OTUKE 1,241,198,900 349,577,750 891,621,150 28%;;;;;
153;OYAM;1,420,240,000;298,812,370;1,121,427,630;21%
154 PADER 952,397,900 119,700,000 832,697,900 13%;;;;;
155;PAKWACH;753,860,879;179,750,250;574,110,629;24%
156 PALLISA 1,784,396,870 191,719,400 1,592,677,470 11%;;;;;
157;RAKAI;1,182,338,800;143,746,520;1,038,592,280;12%
158 RUBANDA 801,574,643 139,330,000 662,244,643 17%;;;;;
159;RUBIRIZI;931,377,539;216,652,759;714,724,780;23%
160 RUKIGA 453,712,452 53,113,600 400,598,852 12%;;;;;
161;RUKUNGIRI;1,369,976,400;230,000,000;1,139,976,400;17%
162 RUKUNGIRI MC 331,253,700 84,410,000 246,843,700 25%;;;;;
163;RWAMPARA;687,828,688;241,863,060;445,965,628;35%
164 SEMBABULE 1,082,220,900 282,370,600 799,850,300 26%;;;;;
165;SERERE;1,311,694,064;287,661,585;1,024,032,479;22%
166 SHEEMA 880,894,000 501,383,000 379,511,000 57%;;;;;
167;SHEEMA MC;519,381,000;282,230,025;237,150,975;54%
168 SIRONKO 1,266,268,000 307,100,000 959,168,000 24%;;;;;
169;SOROTI;990,736,418;251,777,690;738,958,728;25%
170 SOROTI MC 727,002,670 54,302,850 672,699,820 7%;;;;;
171;TEREGO;711,898,000;132,942,955;578,955,045;19%
172 TORORO 1,426,247,993 339,218,047 1,087,029,946 24%;;;;;
173;TORORO MC;841,180,000;40,800,000;800,380,000;5%
174 WAKISO 1,743,164,150 266,080,207 1,477,083,943 15%;;;;;
175;YUMBE;2,315,784,900;296,269,650;2,019,515,250;13%
