54 Nakaseke DLG 4 6,978,540 4 2,117,167 - - 8 9,095,707;;;;;;;;;
55;Nakasongola DLG;14;18,794,400;-;-;1;355,048;15;19,149,448
56 Namayingo DLG 9 2,253,878 - - - - 9 2,253,878;;;;;;;;;
57;Namisindwa DLG;22;23,079,544;2;8,090,403;2;9,557,304;26;40,727,251
58 Napak DLG - 58,510,166 - - - - - 58,510,166;;;;;;;;;
59;Ngora DLG;29;76,499,843;;;;;29;76,499,843
60 Ntoroko DLG 155 208,305,344 4 4,532,888 - - 159 212,838,232;;;;;;;;;
61;Ntungamo DLG;-;4,598,279;-;-;-;-;-;4,598,279
62 Omoro DLG 32 19,781,169 1 27,945,196 33 47,726,365;;;;;;;;;
63;Otuke DLG;8;5,713,368;-;-;-;-;8;5,713,368
64 Oyam DLG 1 3,774,067 1 3,774,067;;;;;;;;;
65;Pader DLG;8;51,073,867;-;-;1;7,023,295;9;58,097,162
66 Pakwach DLG 12 7,458,530 1 202,510 - - 13 7,661,040;;;;;;;;;
67;Pallisa DLG;40;6,800,938;9;3,627,432;-;-;49;10,428,370
68 Rubirizi DLG 1 298,134 - - - - 1 298,134;;;;;;;;;
69;Rwampara DLG;11;2,312,108;-;-;-;-;11;2,312,108
70 Serere DLG 171 335,083,437 - - - - 171 335,083,437;;;;;;;;;
71;Sironko DLG;14;3,490,982;2;842,597;-;-;16;4,333,579
72 Soroti DLG 5 3,928,822 - - - - 5 3,928,822;;;;;;;;;
73;Terego DLG;-;26,393,927;-;-;-;-;-;26,393,927
74 Tororo DLG 7 9,466,335 3 2,606,557 - - 10 12,072,892;;;;;;;;;
75;Yumbe DLG;-;-;-;-;9;25,364,789;9;25,364,789
2,085 2,261,246,384 208 1,293,882,652 62 282,041,444 2,355 3,837,170,480;;;;;;;;;
