SN Entity Name No. of Total staff with inconsisten cy between Interface files and payroll Variance arising from with inconsistency between Interface files and payroll No. of pensioner s with inconsist ency between Interface files and payroll Variance arising from inconsisten cy between Interface files and payroll No. of staff paid salaries off the IPPS payroll Amount of salary paid Off IPPS payroll Amount of pension paid off the IPPS No. of pensione rs paid off the IPPS payroll;;;;;;;;;;
123;Sheema DLG;0;0;0;0;0;0;0;0;0
124 Sironko DLG 54 15,544,879 0 0 15,544,879 0 0 2 6,237,150;;;;;;;;;;
125;Soroti DLG;0;45,051,613;0;327,169,650;372,221,263;0;0;17;384,263,746
126 Terego DLG 0 37,919,839 0 0 37,919,839 318 366,553,984 3 194,516,367;;;;;;;;;;
127;Tororo DLG;0;771,749,550;0;0;771,749,550;1;3,532,865;15;468,511,233
128 Wakiso DLG 0 63,789,727 0 0 63,789,727 0 0 0 0;;;;;;;;;;
129;Yumbe DLG;0;91,433,441;0;0;91,433,441;3;11,833,867;0;0
130 Zombo DLG 0 191,587,740 0 0 191,587,740 0 0 0 0;;;;;;;;;;
;Total;10,504;27,545,118,94;25;802,360,11;27,985,622,6;3,926;4,898,961,116;870;8,603,983,31
;;;1;;2;63;;;;4
