Misclassification Unaccounted for funds;;;;;;;;;;
SN Entity Name Salary, Irrigation Exgratia Total pension and gratuity Other expenditure lines Administrative expenses PDM Support to Organized Groups for improvement of people’s livelihood Total;;;;;;;;;;
127;Nakasongola DLG;41,613,733;0;0;0;41,613,733;0;0;0;0
128 Namayingo DLG 36,843,688 0 0 0 36,843,688 0 0 0 0;;;;;;;;;;
129;Namisindwa DLG;0;0;0;0;0;0;0;0;0
130 Namutumba DLG 271,169,442 0 0 153,019,013 424,188,455 0 0 0 0;;;;;;;;;;
131;Nansana MC;0;0;0;0;0;0;0;0;0
132 Napal DLG DLG 0 0 0 0 0 255,002,000 0 0 255,002,000;;;;;;;;;;
133;Nebbi DLG;0;0;0;0;0;0;0;0;0
134 Nebbi MC 0 0 0 0 0 0 0 0 0;;;;;;;;;;
135;Ngora DLG;0;0;0;23,641,000;23,641,000;0;0;0;0
136 Njeru MC 0 0 0 36,732,050 36,732,050 0 0 0 0;;;;;;;;;;
137;Ntoroko DLG;0;0;0;0;0;0;0;0;0
138 Ntugamo MC 0 0 0 0 0 0 0 0 0;;;;;;;;;;
139;Ntungamo DLG;15,020,229;229,477,125;0;0;244,497,354;0;0;0;0
140 Nwoya DLG 0 1,282,287,149 0 120,040,211 1,402,327,360 0 0 0 0;;;;;;;;;;
141;Obongi DLG;0;0;0;0;0;0;0;0;0
142 Otuke DLG 109,944,652 0 0 99,132,476 209,077,128 0 0 0 0;;;;;;;;;;
143;Oyam DLG;0;0;0;388,608,220;388,608,220;0;0;0;0
144 Pader DLG 0 0 0 157,329,446 157,329,446 65,770,718 0 0 65,770,718;;;;;;;;;;
145;Pakwach DLG;0;0;5,500,000;0;5,500,000;14,670,200;0;0;14,670,200
146 Pallisa DLG 0 0 2,427,469 115,027,538 117,455,007 0 0 0 0;;;;;;;;;;
147;Rakai DLG;0;450,270,049;0;0;450,270,049;0;0;0;0
148 Rubanda DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
149;Rubirizi DLG;76,714,874;0;0;0;76,714,874;0;0;0;0
150 Rukiga DLG 2,673,536 0 0 0 2,673,536 0 0 0 0;;;;;;;;;;
151;Rukungiri DLG;0;1,182,235,981;0;0;1,182,235,981;0;0;0;0
152 Rukungiri MC 0 0 0 0 0 0 0 0 0;;;;;;;;;;
153;Rwampara DLG;0;0;0;0;0;0;0;0;0
154 Sembabule DLG 0 381,925,415 0 0 381,925,415 0 0 0 0;;;;;;;;;;
155;Serere DLG;0;0;0;275,490,964;275,490,964;0;0;0;0
156 Sheema DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
157;Sheema MC;0;0;0;0;0;0;0;0;0
158 Sironko DLG 0 244,992,927 0 0 244,992,927 0 0 0 0;;;;;;;;;;
