SN Entity name Funds repurposed to the revolving fund Funds diverted from the revolving fund Failure to send funds directly to the PDM SACCO Amount Number of unregistered SACCOs Amount sent to unregistered SACCOS Amount unaccounted for;;;;;;;
27;Jinja DLG;38,512,366;0;244,388,400;0;0;0
28 Kamuli MC 0 0 85,054,970 0 0 0;;;;;;;
29;Luuka DLG;127,715,688;0;510,000,000;0;0;0
30 Mayuge DLG 270,104,947 0 771,911,058 0 0 0;;;;;;;
31;Namayingo DLG;56,635,832;0;359,176,351;0;0;0
32 Nebbi MC 31,902,007 0 85,667,800 0 0 0;;;;;;;
33;Butaleja DLG;108,982,819;0;453,962,621;76;562,945,440;0
34 Tororo DLG 258,488,000 0 1,184,332,817 0 0 0;;;;;;;
35;Kazo DLG;76,000,000;0;476,000,000;0;0;0
36 Kiruhura DLG 185,754,545 0 520,802,132 0 0 0;;;;;;;
37;Mbale DLG;102,005,164;0;756,363,187;67;756,363,187;0
38 Bududa DLG 180,102,000 0 1,129,839,000 159 1,129,839,000 0;;;;;;;
39;Mityana DLG;208,132,547;0;594,967,852;0;0;0
40 Nakasongola DLG 77,024,730 0 534,240,626 6 47,138,879 0;;;;;;;
41;Mitooma DLG;191,792,187;0;651,728,000;73;651,728,000;0
42 Rubanda DLG 78,157,447 0 490,307,721 0 0 0;;;;;;;
43;Rukiga DLG;33,918,498;0;213,177,269;13;213,918,498;0
44 Sheema MC 26,052,482 0 163,435,906 0 0 0;;;;;;;
45;Bukedea DLG;172,172,948;0;1,080,098,233;0;0;0
46 Katakwi DLG 195,491,952 0 846,569,922 0 0 0;;;;;;;
47;Soroti DLG;67,204,885;0;389,757,273;0;0;0
48 Moroto DLG 57,371,962 0 511,334,582 0 0 0;;;;;;;
49;Nakapiripirit DLG;0;0;0;0;0;0
50 Mbale City 68,465,226 0 375,062,679 47 375,062,679 0;;;;;;;
51;Sironko DLG;765,170,964;0;1,792,400,736;224;1,792,400,736;0
52 Butebo DLG 0 129,639,841 348,905,563 61 348,905,563 0;;;;;;;
53;Namisindwa DLG;281,963,611;0;1,255,594,106;163;1,255,594,106;0
54 Makindye0Ssabagabo MC 8,863,749 0 74,294,282 0 0 0;;;;;;;
55;Mityana MC;16,990,750;0;106,588,636;0;0;0
56 Mpigi DLG 6,786,926 0 341,285,699 0 0 0;;;;;;;
57;Ibanda DLG;153,625,148;0;396,122,422;0;0;0
58 Mbarara DLG 52,104,966 0 326,989,932 0 0 0;;;;;;;
59;Sheema DLG;52,705,304;0;333,977,728;51;333,977,728;0
60 Njeru MC 0 0 144,800,000 0 0 0;;;;;;;
61;Namutumba DLG;237,976,652;0;901,000,000;0;0;0
