8 Apac MC 4 72,508,691 51 Kapchorwa 1 43,463,017 94 Mityana DLG 2 80,820,392;;;;;;;;;;;
9;Arua City;2;62,817,339;52;KapchorwaDLG;1;12,125,971;95;Moroto;1;94,312,080
10 Arua DLG 8 180,124,087 53 Kapchorwa MC 190,104,98 96 Moyo DLG 2 55,247,825 6 4;;;;;;;;;;;
11;Budaka DLG;1;40,620,256;54;KapelebyongDL;8;103,116,78;97;Mpigi DLG;23;1,071,320,831
;;;;;G;;1;;;;
12 Bududa DLG 174,251,122 55 Kasese DLG 98 Mubende 2,452,632 Municipa l 4 226,994,72 1 9 9;;;;;;;;;;;
13;Bugiri DLG;2;66,332,339;56;Kasese MC;4;110,117,58;99;Mukono DLG;2;95,369,082
;;;;;;;7;;;;
14 Bugiri MC 5 89,963,174 57 Kassanda DLG 196,849,90 100 Nakapiripiriti DLG 11 249,079,055 8 5;;;;;;;;;;;
15;Bugweri DLG;3;119,012,668;58;Katakwi DLG;33;537,829,66;101;Nakaseke DLG;5;148,568,347
;;;;;;;6;;;;
16 Buhweju DLG 2 113,980,979 59 Kayunga DLG 310,909,94 102 Nakasongola DLG 7 183,397,062 8 11;;;;;;;;;;;
17;Buikwe DLG;2;87,770,347;60;Kazo DLG;2;49,564,798;103;Namisindwa DLG;1;24,691,998
18 Bukedea DLG 9 252,299,333 61 Kibaale DLG 1 33,874,924 104 Namutumba DLG 2 14,421,931;;;;;;;;;;;
19;Bukomansimbi;3;131,498,679;62;Kiboga DLG;16;691,792,38;105;Nansana Mc;1;53,681,015
;DLG;;;;;;2;;;;
20 Bukwo DLG 2 73,236,828 63 Kibuku DLG 115,103,02 106 Napak DLG 1 20,081,640 8 4;;;;;;;;;;;
21;Bulambuli DLG;1;41,070,267;64;Kiira Mc;1;37,304,444;107;Ngora DLG;2;77,347,671
22 Bundibugyo DLG 1 63,229,436 65 Kiruhura DLG 2 79,651,751 108 Njeru MC 1 48,916,164;;;;;;;;;;;
23;Bunyangabu DLG;2;19,317,012;66;Kiryandongo;1;36,466,122;109;Ntoroko DLG;1;21,155,736
24 Busia DLG 2 61,685,502 67 Kisoro DLG 118,349,38 110 Ntungamo DLG 3 150,663,621 3 3;;;;;;;;;;;
25;Butaleja DLG;2;65,958,331;68;Kitagwenda DLG;4;93,688,764;111;Nwoya DLG;1;58,179,255
26 Butambala DLG 9 354,619,186 69 Kitgum DLG 4 43,977,685 112 Otuke DLG 3 100,007,444;;;;;;;;;;;
27;Butebo DLG;14;347,336,209;70;Kitgum MC;6;102,540,00;113;Oyam DLG;2;144,554,705
;;;;;;;9;;;;
28 Buvuma DLG 8 123,807,518 71 Kole DLG 1 9,810,528 114 Pakwach DLG 13 132,612,423;;;;;;;;;;;
29;Dokolo DLG;3;124,697,144;72;Kumi DLG;2;36,082,550;115;Pallisa DLG;12;291,198,152
30 Entebbe MC 16 859,954,841 73 Kumi MC 117,682,72 116 Rakai DLG 11 444,695,084 8 5;;;;;;;;;;;
31;Fort Portal City;2;63,945,860;74;Kwania DLG;2;47,978,797;117;Rubanda DLG;2;55,871,035
32 Gomba DLG 18 537,564,524 75 Kween DLG 192,613,79 118 Rukungiri DLG 1 37,709,817 0 5;;;;;;;;;;;
