36;Second phase of renovation of health;;41,686,750;;;;;;
;department Block (Tiling of DHO;;;;;;;;
;Block);;;;;;;;
Construction of a Placenta Pit at Ggolo HC III 37;;;7,123,340;;;;;;
38;3 stance waternourne toilet with a;;30,902,520;;;;;;
;bathroom at Butooro HC III;;;;;;;;
3 Stance waterbourne toilet with bathroom at Mpigi health dep 39;;;30,576,775;;;;;;
40;Waiting shade at Kituntu HC III;;37,325,375;;;;;;
Waterbourne toilet/bathroom at Kamuli Gen Hosp 41;;23,261,576 20,121,200 57,323,858 41,134,100 34,709,000 18,499,500 24,965,823 19,638,180 8,330,608 8,330,608 Kamuli District;;256,314,453;156,700,453;99,614,000;61%;50%;WIP
42;Antenental Shade at Kamuli Gen;;;;;;;;
;Hosp;;;;;;;;
Expansion of Labaratory at Nawendwa HC IV 43;;;;;;;;;
44;Two in one Staff House at Kawaaga;;;;;;;;
;HC II;;;;;;;;
Renovation of Maternity Ward at Nawankofu HC II 45;;;;;;;;;
46;Renovation of OPD at Nawankofu HC;;;;;;;;
;II;;;;;;;;
47 Fencing Kasambira HC II;;;;;;;;;
48;Fencing Kasambira Balawoli HC III;;;;;;;;
49 Placenta Pit at Namaira HC II;;;;;;;;;
50;Placenta Pit at Kasambira HC II;;;;;;;;
Construction of Nsotoka Health Centre III 51;;Kayunga 980,494,263 District;;143,813,882;446,077,126;-302,263,244;45%;43%;WIP
52;Construction of DHO's Staff house at;;;;;;;;
;Nsotoka HC III;;;;;;;;
53 Renovation of an OPD at Bisina HC II;;Katakwi District 115,444,090;;115,444,090;57,722,045;57,722,045;50%;56%;WIP
54;Renovation of OPD at Kapujan HC III;;;;;;;;
55 Renovation of Olilim HC II;;;;;;;;;
56;Renovation of DHO's Office;;;;;;;;
Construction of Semi Detached staff house at Bulele HC III 57;;Buhweju District 38,313,488;;38,313,488;19,156,744;19,156,744;50%;50%;WIP
58;Construction of a 2 stance VIP;;;;;;;;
;Latrine with urinal at Kalungu HC III;;;;;;;;
59 Fencing at Busabaga HC III;;130,647,169;;210,909,726;105,454,863;105,454,863;50%;68%;
