SN Entity Name No. of staff paid using wrong scales Under payment arising from wrong scales Over payment arising from wrong scales No. of staff paid using wrong level/notches Under payment arising from wrong level/notches Over payment arising from wrong level/notches;;;;;;;
21;Busia DLG;526;114,540,178;;367;;104,363,281
22 Butaleja DLG 49 600,770 1,496,834;;;;;;;
23;Butambala DLG;-;-;-;330;8,631,522;8,305,699
24 Butebo DLG;;;;;;;
25;Buvuma DLG;;;;82;8,899,760;
26 Buyende DLG;;;;;;;
27;Dokolo DLG;205;-;8,307,936;-;-;-
28 Gomba DLG - - - 151 9,041,655 435,105;;;;;;;
29;Gulu DLG;;;;391;2,598,635;15,872,018
30 Hoima DLG 1 1,353,483 - 258 22,996,795 -;;;;;;;
31;Ibanda DLG;-;-;-;357;40,083,283;-
32 Iganga DLG - - - 47 4,299,277 -;;;;;;;
33;Jinja DLG;-;-;-;84;6,960,776;9,343,440
34 Kabarole DLG - - - 179 5,093,655 -;;;;;;;
35;Kaberamaido DLG;-;-;-;17;1,401,733;864,048
36 Kagadi DLG 1 - 1,210,200 780 71,130,186 203,395,477;;;;;;;
37;Kakumiro DLG;-;-;-;273;49,631,274;26,569,115
38 Kalaki DLG - - - 263 41,653,446 23,948,209;;;;;;;
39;Kalangala DLG;-;-;-;106;1,717,422;4,327,751
40 Kaliro DLG - - - 70 1,403,312 40,233,766;;;;;;;
41;Kalungu DLG;2;1,534,598;-;20;5,499,498;-
42 Kamuli DLG 78 32,076,919 103 31,056,654;;;;;;;
43;Kanungu DLG;-;-;-;61;19,905,739;-
44 Kapchorwa DLG 19 3,890,327 198,410;;;;;;;
45;Kapelebyong DLG;5;4,136,458;3,288,552;-;-;-
46 Kasanda DLG 561 11,780,802 7,665,567;;;;;;;
47;Katakwi DLG;5;3,685,562;1,284,374;25;12,662,460;4,339,693
48 Kayunga DLG - - - 1,274 37,654,341 14,039,665;;;;;;;
49;Kazo DLG;-;-;-;465;5,518,263;6,545,454
50 Kibaale DLG - - - 362 20,451,084 77,187,636;;;;;;;
51;Kiboga DLG;16;3,117,933;898,152;169;86,200,355;935,967
52 Kibuku DLG 254 56,363,333 27,254,2;;;;;;;
53;Kikuube DLG;4;1,607,592;190,704;67;650,211;1,758,260
54 Kiryandongo DLG - - - 470 4,378,478 10,968,244;;;;;;;
55;Kitagwenda DLG;-;-;-;413;8,829,370;6,374,332
