35;Kira MC;47;44;248,960,000;195,893,000;66;58;484,500,000;390,652,000;0.5;0.4;480,041,000;299,414,000
36 Kiruhura DLG 180 19 30,000,000 3,600,000 39.9 49.3 108,000,000 88,572,600 24 9 73,000,000 35,466,429;;;;;;;;;;;;;
37;Kisoro DLG;307.2;142;164,775,000;72,633,000;145;73;145,000,000;99,383,000;0;0;0;0
38 Kisoro MC 31.8 40.77 73,800,000 73,350,900 12.37 12.37 35,000,000 32,274,000 4.55 2.35 174,099,121 55,485,689;;;;;;;;;;;;;
39;Koboko DLG;323.7;323.7;110,200,000;27,550,000;68.7;47;82,440,000;56,400,000;0;0;0;0
40 Koboko MC 82 82 53,200,000 49,600,000 16 16 72,000,000 72,000,000 0 0 0 0;;;;;;;;;;;;;
41;Kole DLG;49;2;29,000,000;10,000,000;88;28;88,000,000;29,706,560;22;15.5;140,443,000;86,086,739
42 Kumi DLG 1242.4 621.2 125,553,000 72,720,000 24 10 175,072,892 55,738,752 104.4 40.6 146,160,000 103,905,000;;;;;;;;;;;;;
43;Kumi MC;216;85;72,000,000;21,495,000;25.2;12;65,000,000;31,130,000;6;5;157,833,000;143,191,000
44 Kyegegwa DLG 300 60 57,940,224 12,300,000 94 47 224,160,118 131,645,000 0 0 0 0;;;;;;;;;;;;;
45;Kyenjojo DLG;410.6;0;133,000,272;9,750,000;0;0;0;0;55.6;31;321,848,813;197,393,854
46 Kyotera DLG 222.6 14 135,271,000 14,000,000 91.7 41 242,867,000 215,713,000 0 0 0 0;;;;;;;;;;;;;
47;Lamwo DLG;105.1;0;44,816,000;0;129;91.7;157,384,000;142,680,000;15.7;0;120,000,000;0
48 Lira City 60.92 80.77 267,000,000 195,892,000 25.1 31 386,839,000 337,060,000 0 0 0 0;;;;;;;;;;;;;
49;Lira DLG;49;2;29,000,000;10,000,000;88;28;88,000,000;29,706,560;22;15.5;140,443,000;86,086,739
50 Lugazi MC 30 30 41,400,000 41,400,000 32 32 395,680,000 395,680,000 0 0 0 0;;;;;;;;;;;;;
51;Luuka DLG;175.58;0;45,150,000;0;25.6;24.2;112,661,000;98,734,000;0;0;0;0
52 Lwengo DLG 187 0 21,990,987 0 115 62.9 332,036,824 180,851,865 0 0 0;;;;;;;;;;;;;
53;Lyantonde DLG;316;0;44,000,000;0;34.4;26;126,000,000;85,512,298;6;6;30,000,000;30,000,000
54 Makindye Ssabagabo MC 25 10 90,000,000 25,404,000 0 10.2 0 79,996,000 7 8.2 760,000,000 366,549,000;;;;;;;;;;;;;
55;Manafwa DLG;0;0;0;0;22;10;41,700,003;30,325,855;3;1;87,900,000;42,349,420
56 Masaka City 44.6 44.6 166,773,000 136,465,102 43.8 43.8 216,153,567 212,811,703 12 12 529,404,679 288,559,400;;;;;;;;;;;;;
57;Masaka DLG;81.57;0;47,963,160;4,718,000;98.59;47.89;275,108,990;134,443,000;4;4;36,892,215;36,752,000
58 Masindi MC 218.7 115 215,980,000 117,043,850 42 39.7 117,600,000 109,053,000 3.7 3 76,899,000 49,996,000;;;;;;;;;;;;;
59;Mitooma DLG;69;5;60,400,000;700,000;200.5;116;216,500,490;137,024,000;0;0;0;0
60 Mityana MC 53.8 53.8 31,804,000 29,051,000 38.2 12.7 375,063,000 252,785,000 0 0 0 0;;;;;;;;;;;;;
61;Moroto DLG;110;110;67,699,000;25,161,000;26;12;128,798,000;39,183,744;0;0;0;0
62 Moroto MC 56.8 56.8 54,200,000 54,200,000 2.93 2.93 42,855,000 42,855,000 1.22 0.88 217,000,000 99,232,000;;;;;;;;;;;;;
63;Moyo DLG;77.7;46.03;147,398,206;87,314,028;84;9.1;147,139,682;17,215,780;0;0;0;0
64 Mpigi DLG 60.5 60.5 49,500,000 35,700,000 97 40 377,819,000 193,430,250 0 0 0 0;;;;;;;;;;;;;
65;Mubende DLG;350;185;86,333,000;30,471,000;272.5;121.5;318,245,000;158,245,000;0;0;0;0
66 Mubende MC 113 113 55,714,000 55,714,000 75 75 127,621,757 106,830,190 12 12 234,750,000 90,710,498;;;;;;;;;;;;;
67;Mukono DLG;471.17;0;141,345,000;0;96.17;91.8;411,608,000;325,149,000;0;0;0;0
68 Nakapiripirit DLG 61 61 74,000,000 42,340,000 1 8 128,798,000 42,860,918 0 0 0 0;;;;;;;;;;;;;
69;Nakaseke DLG;410.8;205.4;258,313,415;56,333,500;94.8;53;159,768,385;131,398,678;0;0;0;0
70 Nakasongola DLG 371.1 150.2 94,784,090 18,153,000 47 32.5 362,885,000 213,421,000 0 0 0 0;;;;;;;;;;;;;
71;Namisindwa DLG;103;0;104,968,000;0;61.6;47.1;61,663,000;102,061,049;0;0;0;0
72 Namutumba DLG 263.8 0 94,723,907 0 36.7 30.73 151,367,950 134,013,203 0 0 0 0;;;;;;;;;;;;;
73;Nansana MC;96.9;96.9;194,807,100;175,250,000;64.4;48.9;703,258,600;475,588,000;0;0;0;0
