SN Entity name Funds repurposed to the revolving fund Funds diverted from the revolving fund Failure to send funds directly to the PDM SACCO Amount Number of unregistered SACCOs Amount sent to unregistered SACCOS Amount unaccounted for;;;;;;;
1;Kagadi DLG;0;0;0;0;0;0
2 Kibaale DLG 139,623,956 0 446,506,992 57 446,506,992 0;;;;;;;
3;Kyankwanzi DLG;602,411,574;0;1,121,394,573;0;0;0
4 Buliisa DLG 4,585,581 0 225,593,699 0 0 0;;;;;;;
5;Kiboga DLG;194,863,213;0;673,117,066;58;673,117,066;0
6 Kiryandongo DLG 11,035,537 0 305,554,087 43 305,554,087 0;;;;;;;
7;Kayunga DLG;0;53,213,435;430,432,548;0;0;0
8 Kira MC 25,355,296 0 51,000,000 0 0 0;;;;;;;
9;Mukono DLG;110,557,437;0;639,044,406;0;0;0
10 Nakaseke DLG 188,059,087 0 612,155,745 0 0 0;;;;;;;
11;Nansana MC;19,648,782;0;217,536,255;0;0;0
12 Wakiso DLG 422,411,449 0 1,083,778,521 98 1,083,778,521 0;;;;;;;
13;Buhweju DLG;105,977,134;0;512,154,216;68;512,154,216;0
14 Kabale DLG 75,892,014 0 476,095,903 0 0 0;;;;;;;
15;Kanungu DLG;0;0;649,232,325;36;649,232,325;0
16 Kisoro DLG 76,476,259 0 444,561,910 58 444,561,910 0;;;;;;;
17;Mbarara City;14,630,844;0;152,014,268;0;0;0
18 Rubirizi DLG 116,507,539 0 485,643,852 0 0 0;;;;;;;
19;Rukungiri DLG;178,162,896;0;660,785,344;39;660,785,344;0
20 Rwampara DLG 32,848,782 0 206,528,709 0 0 0;;;;;;;
21;Bugiri DLG;148,986,153;0;646,000,000;0;0;0
22 Bugiri MC 6,796,300 0 34,290,630 0 0 0;;;;;;;
23;Bugweri DLG;105,582,934;0;320,617,860;0;0;0
24 Iganga DLG 186,569,757 0 354,135,967 0 0 0;;;;;;;
25;Iganga MC;14,294,884;0;80,000,000;0;0;0
26 Jinja City 40,494,619 0 195,797,611 0 0 0;;;;;;;
