Amount outstanding arising from delayed access by newly recruited/tr ansferred staff No. of pensioners /beneficiari es who delayed to access payroll Average delays to access the pension payroll (month s) No. of pensioner s/benefic iaries with outstandi ng payments by end of FY Amount outstanding arising from delayed access by pensioners/b eneficiaries Amount paid to employees after expected date of removal Aver age delay s to leave the wage payr oll (mon ths) No. of staff who dela yed to be remo ved from the payr oll No. of staf f who dela yed to acce ss payr oll Aver age delay s to acce ss the wage payr oll (mon ths) No. of staff with outstandi ng payments by end of FY arising from delayed access by newly recruited/ transferre d staff SN Entity Name;;;;;;;;;;;;
104 Obongi DLG 46 7 0 0 0 0 0 0 6 11 18,684,675;;;;;;;;;;;;
105;Omoro DLG;56;3;7;12,126,304;7;4;7;6,243,922;18;;54,558,940
106 Otuke DLG 13 4 1 1,507,337 4 27 4 34,075,924 13 4 31,399,188;;;;;;;;;;;;
107;Oyam DLG;46;1;21;59,225,548;38;0;0;14,521,285;40;6;64,329,568
108 Pader DLG 9 1 0 0 0 0 0 0 0 0 0;;;;;;;;;;;;
109;Pakwach DLG;115;4;71;131,591,923;9;24;9;48,149,403;3;8;6,605,233
110 Pallisa DLG 4 4 0 0 0 0 0 0 0 0 0;;;;;;;;;;;;
111;Rakai DLG;3;3;3;2,178,361;0;0;0;0;0;0;0
112 Rubanda DLG 0 0 0 0 0 0 0 0 14 2 5,618,632;;;;;;;;;;;;
113;Rubirizi DLG;31;3;30;51,450,614;2;4;3;2,059,373;8;4;5,479,020
114 Rukiga DLG 129 5 129 43,590,726 15 5 2 3,032,050 11 4 25,295,745;;;;;;;;;;;;
115;Rukungiri DLG;7;2;7;10,733,102;6;5;0;0;5;6;11,112,276
116 Rwampara DLG 2 3 3 6,082,931 0 0 0 0 3 2 3,911,449;;;;;;;;;;;;
117;Serere DLG;147;5;147;74,269,549;29;8;29;67,196,981;0;0;0
118 Sheema DLG 2 2 0 0 20 5 11 4,792,068 11 2 7,386,095;;;;;;;;;;;;
119;Sironko DLG;0;0;0;0;3;12;0;0;3;1;8,058,192
120 Soroti DLG 0 0 0 0 11 12 11 25,842,175 0 0 0;;;;;;;;;;;;
121;Terego DLG;5;2;0;0;11;4;11;13,187,310;10;;16,208,269
122 Tororo DLG 30 2 34,148,408 0 0 0 0 18 6 6,193,537;;;;;;;;;;;;
123;Wakiso DLG;15;1;0;0;7;3;0;0;8;2;3,075,280
124 Yumbe DLG 123 3 112 203,440,332 0 0 0 0 0 0 0;;;;;;;;;;;;
125;Zombo DLG;10;2;10;92,374,336;13;1;13;16,684,152;12;4;8,511,386
549 1,380,739,35 7 795 1,071,478,61 1 2,802,520,5 09 4,34 1,019 1 Total 1,746;;;;;;;;;;;;
