,Unnamed: 0,Unnamed: 1,Kalangala HC IV,Unnamed: 3,Bukasa HC IV,Unnamed: 5
0,S/N,Type of medical equipment,Recommended no.,Available no.,Recommended no.,Available no.
1,1,Delivery Sets,5,4,5,5
2,2,Blood pressure machines[bp],5,1,5,2
3,3,Doppler (hand held),1,1,1,1
4,4,Fetoscopes,10,2,10,1
5,5,Episiotomy set,2,4,2,0
6,6,MVA sets (manual vacuum aspiration sets),2,1,2,1
7,7,Ultra sound scan machine (basic) for obstetrics,1,1,1,0
8,8,Penguine sucker,5,3,5,3
9,9,Ambubag- Adult,2,1,2,0
10,10,Ambubag- Neonatal,3,1,3,1
11,11,Autoclave-Electric,1,1,1,0
12,12,Autoclave- Non electric,1,0,1,1
13,13,IUD set,2,1,2,0
14,14,Implant removal set,2,0,2,0
15,14,Implant removal set,2,0,2,0
16, ,Total,42,21,42,15
