,S / n,Code,Project,Contract or,Contract amount,Cumulative Payments,Balance
0,Co., , , , , , 
1, ,Lot 5,Sub total, ,"79,992,632","76,152,972","3,839,660 (Retention)"
2,1 2,KE140-3-2,Construction of new staff house with latrine at Sserwanga Lwanga SS,Nkambo Services,"348,712,713","168,487,200","180,225,513"
3,1 3,KE120-3-6,Construction of school kitchen with store at Bumangi P/S,Nkambo Services,"157,143,614","71,683,380","85,460,234"
4,1 4, ,Construction of a 5 stance pit latrine at Sserwanga Lwanga SS,Nkambo Services,"73,898,243","22,207,050","51,691,193"
5, ,Lot 6,Sub total, ,"579,754,570","262,377,630","317,376,940"
6,1 5,KE120-3-2,Construction of school kitchen with store at Sserinnya P/S,Water Front Holdings,"179,656,143",-, 
7,1 6, ,Construction of a 5 stance pit latrine at Bukasa SS,Water Front Holdings,"71,670,662",-, 
8, ,Lot 7, , ,"251,326,805","156,778,547","94,548,258"
9, , ,Total Lot 1-7, , , ,"1,686,168,277"
