SN Entity Name No. of staf f who dela yed to acce ss payr oll Aver age delay s to acce ss the wage payr oll (mon ths) No. of staff with outstandi ng payments by end of FY arising from delayed access by newly recruited/ transferre d staff Amount outstanding arising from delayed access by newly recruited/tr ansferred staff No. of pensioners /beneficiari es who delayed to access payroll Average delays to access the pension payroll (month s) No. of pensioner s/benefic iaries with outstandi ng payments by end of FY Amount outstanding arising from delayed access by pensioners/b eneficiaries Amount paid to employees after expected date of removal Aver age delay s to leave the wage payr oll (mon ths) No. of staff who dela yed to be remo ved from the payr oll;;;;;;;;;;;;
52 Kayunga DLG 72 2 66 76,089,749 7 2 5 17,946,110 7 4 11,937,661;;;;;;;;;;;;
53;Kazo DLG;0;0;0;0;5;5;5;16,277,128;15;14;10,007,528
54 Kibaale DLG 80 2 11 11,596,763 8 2 8 9,249,075 8 4 6,123,981;;;;;;;;;;;;
55;Kiboga DLG;12;7;8;17,227,243;5;5;2;1,544,932;5;2;5,318,049
56 Kibuku DLG 17 4 4 2 0 0 5 4 9,783,264;;;;;;;;;;;;
57;Kikuube DLG;24;9;25;55,489,300;10;6;6;4,109,070;17;6;16,421,978
58 Kiruhura DLG 44 3 9 12,186,896 5 14 0 0 0 0 0;;;;;;;;;;;;
59;Kiryandongo DLG;5;0;5;6,716,685;17;1;10;65,703,667;9;3;13,937,711
60 Kisoro DLG 19 5 0 0 5 3 0 0 3 5 6,101,105;;;;;;;;;;;;
61;Kitagwenda DLG;4;2;3;11,369,295;5;1;0;0;0;0;0
62 Kitgum DLG 34 0 0 0 2 1 0 2,460,449 2 1 1,054,211;;;;;;;;;;;;
63;Koboko DLG;44;2;35;49,045,202;0;0;0;0;5;3;5,976,116
64 Kole DLG 0 0 0 0 7 2 0 0 1 12 1,954,864;;;;;;;;;;;;
65;Kumi DLG;451;10;0;0;3;10;0;0;8;12;15,715,785
66 Kwania DLG 27 1 26 34,431,052 8 0 0 0 3 5 7,305,327;;;;;;;;;;;;
67;Kween DLG;0;0;0;0;4;3;0;0;1;2;359,225
68 Kyankwanzi DLG 144 3 121 255,016,293 8 2 16 6,007,295 20 4 25,623,734;;;;;;;;;;;;
69;Kyegegwa DLG;150;1;150;74,952,600;6;2;2;2,341,518;5;2;5,417,265
70 Kyenjojo DLG 1 6 1 4,545,328 7 3 7 4,114,211 0 0 0;;;;;;;;;;;;
71;Kyotera DLG;8;3;1;4,621,212;2;1;0;0;0;0;0
72 Lamwo DLG 15 1 11 6,716,685 3 0 0 0 2 3 3,573,149;;;;;;;;;;;;
73;Lira DLG;0;0;0;0;8;1;8;26,444,576;10;4;16,067,592
74 Luuka DLG 0 0 0 0 1 1 0 2,342,700 5 3 6,852,439;;;;;;;;;;;;
75;Luwero DLG;80;2;15;71,933,587;8;3;10;12,959,364;7;5;12,799,031
76 Lwengo DLG 85 3 13 27,770,510 8 5 8 9,389,047 4 3 3,036,979;;;;;;;;;;;;
77;Lyantonde DLG;8;3;7;7,228,968;21;36;21;144,602,074;22;16;42,805,698
