6;Kikuube DLG;0;0;0;0;0;0;0;0;0;0
7 Kiryandongo DLG 3;;;;;;;;;;;
8;Koboko DLG;3;1,578,500,000;0;0;1;18,500,000;;;6;277,286,100
9 Kyegegwa DLG 12 8,614,602,139 1 1,800,000,000 0 0 0 0 0 0;;;;;;;;;;;
10;Lamwo DLG;;;;;;;;;;
11 Madi0Okollo DLG 2 0 0 4 0 0 0 0 0;;;;;;;;;;;
12;Moyo DLG;1;580,000,000;0;0;1;55,500,000;3;55,500,000;1;54,285,664
13 Obongi DLG 2 1,300,000,000 1 419,597,795 3 59,500,000 88 4,836,949,177;;;;;;;;;;;
14;Terego DLG;;;;;2;;0;;32;2,174,274,965
15 Yumbe DLG 23 12,862,999,998 0 0 0 19 1,572,500,000 30 1,304,714,817;;;;;;;;;;;
;Total;66;30,987,046,625;3;4,141,026,615;14;133,500,000;25;5,265,800,000;179;9,949,108,151
