SN Local Government Cummulative Amount Disbursed Cummulative Amount %recovery Recovered Amount Due as at 30/June/2022;;;;;
102 LIRA 998,287,500 181,346,483 816,941,017 18%;;;;;
103;LIRA MC;719,400,500;271,442,000;447,958,500;38%
104 LUGAZI MC 186,268,000 27,200,000 159,068,000 15%;;;;;
105;LUUKA;1,270,470,500;127,477,000;1,142,993,500;10%
106 LUWERO 1,486,290,291 346,274,380 1,140,015,911 23%;;;;;
107;LWENGO;890,277,450;214,146,958;676,130,492;24%
108 LYANTONDE 1,053,720,798 475,823,000 577,897,798 45%;;;;;
109;MADI0OKOLO;699,387,900;63,368,198;636,019,702;9%
110 MAKINDYE SABAGABO MC 612,306,000 165,286,000 447,020,000 27%;;;;;
111;MANAFWA;1,065,145,114;126,394,000;938,751,114;12%
112 MARACHA 925,734,700 304,167,452 621,567,248 33%;;;;;
113;MASAKA;1,053,743,995;93,776,563;959,967,432;9%
114 MASAKA MC 870,343,056 60,007,820 810,335,236 7%;;;;;
115;MASINDI;1,029,932,000;213,329,681;816,602,319;21%
116 MASINDI MC 534,611,172 136,375,259 398,235,913 26%;;;;;
117;MAYUGE;2,223,544,045;323,612,803;1,899,931,242;15%
118 MBALE 1,136,326,112 217,000,000 919,326,112 19%;;;;;
119;MBALE MC;423,934,681;51,259,000;372,675,681;12%
120 MBARARA 1,006,072,228 427,670,974 578,401,254 43%;;;;;
121;MBARARA MC;556,021,100;132,217,546;423,803,554;24%
122 MITOOMA 1,208,180,500 368,442,050 839,738,450 30%;;;;;
123;MITYANA;734,975,457;230,668,500;504,306,957;31%
124 MITYANA MC 189,623,350 62,403,396 127,219,954 33%;;;;;
125;MOROTO;880,550,243;441,686,000;438,864,243;50%
126 MOROTO MC 268,738,681 99,734,835 169,003,846 37%;;;;;
127;MOYO;894,175,800;102,499,600;791,676,200;11%
128 MPIGI 834,778,000 67,165,600 767,612,400 8%;;;;;
129;MUBENDE;1,056,277,303;163,147,300;893,130,003;15%
130 MUBENDE MC 362,453,000 86,659,100 275,793,900 24%;;;;;
131;MUKONO;972,755,500;188,775,000;783,980,500;19%
132 MUKONO MC 667,682,500 84,570,000 583,112,500 13%;;;;;
133;NABILATUK;525,077,899;126,662,157;398,415,742;24%
134 NAKAPIRIPIRIT 1,038,485,500 75,788,418 962,697,082 7%;;;;;
135;NAKASEKE;1,212,652,080;312,910,611;899,741,469;26%
136 NAKASONGOLA 739,457,000 220,953,000 518,504,000 30%;;;;;
137;NAMAYINGO;1,166,593,750;222,680,000;943,913,750;19%
138 NAMISINDWA 626,045,000 86,300,000 539,745,000 14%;;;;;
