sn LOCAL GOVERNMENT CUMM. AMOUNT CUMM0AMOUNT DUE % recovery DISBURSED (UGX) (UGX) CUMMULATIVE RECOVERIES AS AT 30 TH JUNE02022 CUMMULATIVE AMOUNT DUE AS AT 30TH JUNE02022;;;;;;
64 KAMWENGE DISTRICT LG 809,623,000 418,104,523 350,957,000 67,147,523 84%;;;;;;
65;KANUNGU DISTRICT LG;859,570,180;225,479,662;197,030,000;28,449,662;87%
66 KAPCHORWA DISTRICT LG 669,008,191 145,223,523 105,356,700 39,866,823 73%;;;;;;
67;KAPCHORWA MUNICIPALITY;464,121,450;90,606,619;56,000,000;34,606,619;62%
68 KAPELEBYONG DISTRICT LG 382,835,500 98,062,200 33,570,000 64,492,200 34%;;;;;;
69;KARENGA DISTRICT LG;471,310,000;89,298,343;0;89,298,343;0%
70 KASESE DISTRICT LG 1,750,446,800 411,264,520 323,125,000 88,139,520 79%;;;;;;
71;KASESE MUNICIPALITY;415,580,300;212,191,923;139,550,000;72,641,923;66%
72 KASSANDA DISTRICT LG 361,456,000 172,335,423 11,279,400 161,056,023 7%;;;;;;
73;KATAKWI DISTRICT LG;676,070,200;175,271,863;145,126,385;30,145,478;83%
74 KAYUNGA DISTRICT LG 797,528,118 211,726,673 186,147,950 25,578,723 88%;;;;;;
75;KAZO DISTRICT LG;523,586,352;255,338,343;64,100,000;191,238,343;25%
76 KIBAALE DISTRICT LG 914,082,011 331,341,810 285,920,850 45,420,960 86%;;;;;;
77;KIBOGA DISTRICT LG;646,062,144;163,003,660;136,382,417;26,621,243;84%
78 KIBUKU DISTRICT LG 738,161,981 153,937,325 47,239,150 106,698,175 31%;;;;;;
79;KIKUUBE DISTRICT LG;618,079,000;154,804,527;136,751,923;18,052,604;88%
80 KIRA MUNICIPALITY 1,423,212,000 368,034,875 213,027,392 155,007,483 58%;;;;;;
81;KIRUHURA DISTRICT LG;828,932,000;581,956,000;457,599,050;124,356,950;79%
82 KIRYANDONGO DISTRICT LG 474,679,500 128,795,990 25,650,000 103,145,990 20%;;;;;;
83;KISORO DISTRICT LG;929,341,500;475,430,790;414,103,000;61,327,790;87%
84 KISORO MUNICIPALITY 479,761,230 145,415,323 95,050,000 50,365,323 65%;;;;;;
85;KITAGWENDA DISTRICT LG;496,544,700;116,454,543;94,554,100;21,900,443;81%
86 KITGUM DISTRICT LG 935,545,500 122,684,648 80,000,000 42,684,648 65%;;;;;;
87;KITGUM MUNICIPALITY;652,082,205;233,316,741;69,084,614;164,232,127;30%
88 KOBOKO DISTRICT LG 812,129,800 350,573,560 292,281,488 58,292,072 83%;;;;;;
89;KOBOKO MUNICIPALITY;423,780,004;214,725,623;125,634,000;89,091,623;59%
90 KOLE DISTRICT LG 770,191,493 438,873,000 348,000,000 90,873,000 79%;;;;;;
91;KOTIDO DISTRICT LG;740,758,556;122,860,621;67,200,000;55,660,621;55%
92 KOTIDO MUNICIPALITY 641,199,237 188,479,200 129,929,000 58,550,200 69%;;;;;;
93;KUMI DISTRICT LG;657,498,500;290,541,125;246,044,500;44,496,625;85%
94 KUMI MUNICIPALITY 412,001,000 211,033,123 153,734,700 57,298,423 73%;;;;;;
95;KWANIA DISTRICT LG;357,876,500;81,419,385;65,330,000;16,089,385;80%
96 KWEEN DISTRICT LG 624,522,226 190,160,074 161,907,150 28,252,924 85%;;;;;;
97;KYANKWANZI DISTRICT LG;580,235,550;249,957,134;261,129,500;011,172,366;104%
98 KYEGEGWA DISTRICT LG 865,954,000 389,581,439 362,150,000 27,431,439 93%;;;;;;
