sn Entity name No. of gazetted parishes No. of SACCOs funded SACCO s not funded Approved budget (UGX) SACCOs funded in un- gazetted parishes Release (UGX) Variance (UGX) Planned funding per SACCO (UGX) Actual funding per SACCO (UGX) Funding gap per PDM SACCO (UGX);;;;;;;;;;;
102 Arua City 54 33 21 0 918,000,000 564,939,853 353,060,147 11,946,385 17,000,000 05,053,615;;;;;;;;;;;
103;Bukomansimbi DLG;39;18;21;0;678,174,664;441,366,099;236,808,565;11,946,385;7,833,456;4,112,929
104 Rakai DLG 73 73 0 0 1,269,403,436 849,807,364 419,596,072 11,946,385 8,937,000 3,009,385;;;;;;;;;;;
105;Kalungu DLG;37;37;0;0;642,899,262;353,131,018;289,768,244;11,946,385;7,692,038;4,254,347
106 Sembabule DLG 65 65 0 0 1,216,761,518 737,217,307 479,544,211 11,946,385 7,365,870 4,580,515;;;;;;;;;;;
107;Gomba DLG;49;49;0;0;856,385,339;552,674,675;303,710,664;11,946,385;7,105,908;4,840,477
108 Kyotera DLG 66 66 0 0 1,147,679,819 715,961,473 431,718,346 11,946,385 7,105,909 4,840,476;;;;;;;;;;;
109;Lwengo DLG;45;45;0;0;782,508,968;378,511,421;403,997,547;11,946,385;6,042,800;5,903,585
110 Lyantonde DLG 30 30 0 0 521,672,644 335,000,749 186,671,895 11,946,385 7,126,865 4,819,520;;;;;;;;;;;
111;Mubende MC;18;18;0;0;313,273,586;195,291,675;117,981,911;11,946,385;7,105,908;4,840,477
112 Bundibugyo DLG 130 127 3 0 2,260,581,461 1,156,908,350 1,103,673,111 11,946,385 7,388,667 4,557,718;;;;;;;;;;;
113;Kyegegwa DLG;81;33;48;0;1,408,516,141;878,812,536;529,703,605;11,946,385;14,578,630;02,632,245
114 Kamwenge DLG 62 62 0 0 1,078,123,466 681,449,903 396,673,563 11,946,385 7,247,499 4,698,886;;;;;;;;;;;
115;Kasese DLG;197;196;1;0;3,425,650,569;2,234,298,995;1,191,351,574;11,946,385;9,173,111;2,773,274
116 Kyenjojo DLG 167 88 79 0 2,912,100,722 1,915,727,290 996,373,432 11,946,385 17,000,000 05,053,615;;;;;;;;;;;
117;Bunyangabu DLG;49;48;1;0;852,065,320;559,378,893;292,686,427;11,946,385;7,975,809;3,970,576
118 Kabarole DLG 52 52 0 0 904,232,592 510,884,500 393,348,092 11,946,385 9,215,895 2,730,490;;;;;;;;;;;
119;Alebtong DLG;69;36;33;0;1,199,847,083;753,177,270;446,669,813;11,946,385;0;11,946,385
120 Gulu DLG 47 46 1 0 817,287,145 509,928,262 307,358,883 11,946,385 7,051,875 4,894,510;;;;;;;;;;;
121;Oyam DLG;74;31;43;0;1,286,792,524;802,865,773;483,926,751;11,946,385;17,000,000;05,053,615
122 Fort Portal City 25 21 4 0 434,727,205 271,238,386 163,488,819 11,946,385 12,176,407 0230,022;;;;;;;;;;;
123;Kole DLG;54;54;0;0;904,232,585;492,856,334;411,376,251;11,946,385;6,842,727;5,103,658
124 Masaka DLG 18 6 12 0 313,003,586 195,291,674 117,711,912 11,946,385 0 11,946,385;;;;;;;;;;;
125;Mubende DLG;79;79;0;0;1,373,737,963;709,240,137;664,497,826;11,946,385;7,565,422;4,380,963
126 Masaka City 25 11 14 0 434,727,204 271,238,436 163,488,768 11,946,385 0 11,946,385;;;;;;;;;;;
127;Lamwo DLG;86;41;45;0;1,495,461,583;973,176,329;522,285,254;11,946,385;17,000,000;05,053,615
128 Lira City 49 46 3 0 852,065,320 824,313,762 27,751,558 11,946,385 0 11,946,385;;;;;;;;;;;
129;Kalaki DLG;34;34;0;0;591,228,997;368,884,274;222,344,723;11,946,385;7,105,909;4,840,476
130 Amuria DLG 98 97 1 0 1,721,519,728 1,080,551,952 640,967,776 11,946,385 6,443,889 5,502,496;;;;;;;;;;;
131;Amolatar DLG;85;85;0;0;1,473,171,913;932,085,746;541,086,167;11,946,385;6,147,023;5,799,362
132 Soroti City 25 25 0 0 434,727,185 236,951,161 197,776,024 11,946,385 7,105,732 4,840,653;;;;;;;;;;;
133;Kumi DLG;140;140;0;0;2,434,472,342;1,518,935,245;915,537,097;11,946,385;7,105,909;4,840,476
134 Ngora DLG 73 73 0 0 1,269,102,956 791,716,071 477,386,885 11,946,385 7,100,068 4,846,317;;;;;;;;;;;
135;Dokolo DLG;71;34;37;0;1,234,625,269;672,938,455;561,686,814;11,946,385;17,000,000;05,053,615
