SN Local Government Cummulative Amount Disbursed Cummulative Amount %recovery Recovered Amount Due as at 30/June/2022;;;;;
28 BUSHENYI0ISHAKA 333,627,400 105,817,000 227,810,400 32%;;;;;
29;BUSIA;1,117,921,963;123,051,733;994,870,230;11%
30 BUSIA MC 292,691,874 31,713,178 260,978,696 11%;;;;;
31;BUTALEJA;768,440,957;120,280,000;648,160,957;16%
32 BUTAMBALA 630,640,978 80,890,321 549,750,657 13%;;;;;
33;BUTEBO;641,022,700;34,277,000;606,745,700;5%
34 BUVUMA 746,271,980 112,575,000 633,696,980 15%;;;;;
35;BUYENDE;2,043,535,000;255,547,200;1,787,987,800;13%
36 DOKOLO 1,307,323,000 324,721,750 982,601,250 25%;;;;;
37;ENTEBBE MC;348,956,324;59,000,000;289,956,324;17%
38 FORT PORTAL MC 387,642,470 119,037,800 268,604,670 31%;;;;;
39;GOMBA;838,593,022;173,900,093;664,692,929;21%
40 GULU 687,415,300 158,871,700 528,543,600 23%;;;;;
41;GULU MC;526,738,000;139,545,384;387,192,616;26%
42 HOIMA 1,362,810,000 362,991,129 999,818,871 27%;;;;;
43;HOIMA MC;417,807,612;133,007,900;284,799,712;32%
44 IBANDA 1,207,486,639 568,625,465 638,861,174 47%;;;;;
45;IBANDA MC;509,101,000;278,628,000;230,473,000;55%
46 IGANGA 1,445,453,000 393,136,000 1,052,317,000 27%;;;;;
47;IGANGA MC;737,703,281;61,220,842;676,482,439;8%
48 ISINGIRO 1,590,959,519 390,210,000 1,200,749,519 25%;;;;;
49;JINJA;1,158,623,707;218,052,579;940,571,128;19%
50 JINJA MC 503,230,000 93,874,700 409,355,300 19%;;;;;
51;KAABONG;1,363,036,915;430,667,771;932,369,144;32%
52 KABALE 965,256,145 341,558,100 623,698,045 35%;;;;;
53;KABALE MC;215,500,500;55,303,000;160,197,500;26%
54 KABAROLE 1,550,962,456 604,631,533 946,330,923 39%;;;;;
55;KABERAMAIDO;514,569,525;151,625,245;362,944,280;29%
56 KAGADI 1,575,484,122 467,322,640 1,108,161,482 30%;;;;;
57;KAKUMIRO;743,270,500;178,212,000;565,058,500;24%
58 KALAKI 415,709,634 82,042,600 333,667,034 20%;;;;;
59;KALANGALA;747,503,500;163,233,492;584,270,008;22%
60 KALIRO 1,128,449,600 161,710,000 966,739,600 14%;;;;;
61;KALUNGU;877,348,800;255,160,200;622,188,600;29%
62 KAMULI 1,694,700,236 281,628,963 1,413,071,273 17%;;;;;
63;KAMULI MC;194,730,747;33,725,200;161,005,547;17%
64 KAMWENGE 1,246,093,000 377,745,750 868,347,250 30%;;;;;
