SN Entity Name Absorption Excess release of wage Transfer LLGs to Off Budget Financing/Receipts;;;;;;;;
warrants Expenditure Unspent % Absorbed;;;;;;;;
55;Kalangala DLG;19,255,578,562;17,414,057,912;1,841,520,650;90%;0;176,510,000;0
56 Kaliro DLG 35,901,144,843 34,021,715,732 1,879,429,111 95% 0 0 0;;;;;;;;
57;Kalungu DLG;28,795,921,074;27,148,879,609;1,647,041,465;94%;0;0;0
58 Kamuli DLG 61,487,285,797 54,146,395,385 7,340,890,412 88% 2,379,521,144 64,362,709 0;;;;;;;;
59;Kamuli MC;21,130,778,694;14,046,495,603;7,084,283,091;66%;0;0;0
60 Kamwenge DLG 54,827,697,933 43,687,085,450 11,140,612,48 80% 3 0 209,067,094 0;;;;;;;;
61;Kanungu DLG;44,030,676,812;42,369,401,889;1,661,274,923;96%;0;38,504,645;0
62 Kapchorwa DLG 22,517,959,276 19,748,553,077 2,769,406,199 88% 0 0 0;;;;;;;;
63;Kapchorwa MC;8,395,473,308;7,997,225,401;398,247,907;95%;0;0;0
64 Kapelebyong DLG 15,569,721,601 12,235,337,606 3,334,383,995 79% 0 0 0;;;;;;;;
65;Kasese MC;30,900,924,929;28,458,875,148;2,442,049,781;92%;0;64,733,154;0
66 Kasese DLG 81,918,725,603 78,576,105,971 3,342,619,632 96% 0 0 0;;;;;;;;
67;Kassanda DLG;32,378,212,359;30,930,307,115;1,447,905,244;96%;0;0;0
68 Katakwi DLG 32,045,504,801 30,127,091,367 1,918,413,434 94% 0 0 0;;;;;;;;
69;Kayunga DLG;48,613,572,001;46,099,338,233;2,514,233,768;95%;0;0;773,412,069
70 Kazo DLG 20,798,136,942 18,199,280,618 2,598,856,324 88% 0 0 0;;;;;;;;
71;Kibaale DLG;30,224,714,785;25,820,356,610;4,404,358,175;85%;0;0;0
72 Kiboga DLG 27,790,363,854 26,318,651,550 1,471,712,304 95% 0 52,265,069 0;;;;;;;;
73;Kibuku DLG;28,753,665,289;25,972,461,234;2,781,204,055;90%;0;0;0
74 Kikuube DLG 39,760,285,943 36,404,274,857 3,356,011,086 92% 2,089,356,961 0 0;;;;;;;;
75;Kira MC;27,879,646,471;26,368,296,040;1,511,350,431;95%;0;0;0
76 Kiruhura DLG 24,387,600,876 23,043,919,729 1,343,681,147 94% 0 1,140,291,802 0;;;;;;;;
77;Kiryandongo DLG;47,174,781,543;38,282,883,956;8,891,897,587;81%;2,595,952,499;0;0
78 Kisoro DLG 42,882,291,400 42,455,392,088 426,899,312 99% 0 0 0;;;;;;;;
79;Kisoro MC;4,326,154,385;3,887,968,240;438,186,145;90%;0;0;0
80 Kitagwenda DLG 20,145,817,767 18,803,315,637 1,342,502,130 93% 0 0 0;;;;;;;;
81;Kitgum DLG;33,271,306,168;32,504,037,997;767,268,171;98%;0;0;0
82 Koboko MC 13,888,053,208 10,699,321,135 3,188,732,073 77% 0 0 0;;;;;;;;
83;Koboko DLG;35,409,866,711;33,272,440,212;2,137,426,499;94%;0;0;0
84 Kole DLG 28,474,192,096 26,922,628,239 1,551,563,857 95% 0 53,722,664 0;;;;;;;;
85;Kumi DLG;33,007,726,183;31,841,309,685;1,166,416,498;96%;0;0;0
86 Kumi MC 8,126,023,961 7,548,239,062 577,784,899 93% 0 185,139,760 0;;;;;;;;
87;Kwania DLG;23,635,325,330;19,196,790,749;4,438,534,581;81%;0;0;0
88 Kween DLG 24,080,850,750 20,536,831,697 3,544,019,053 85% 0 0 0;;;;;;;;
