60;Renovation of the OPD at Kizigo HC Lugazi;;39,935,444;;;;;;
;II Municipality;;;;;;;;
Renovation of Najjembe HC III Staff 23,500,253 Quarters 61;;;;;;;;;
62;Construction of an incenerator at;;16,581,902;;;;;;
;Najjembe HC III;;;;;;;;
Construction of OPD Block & 2 stance latrine at Kigara HC II 63 Isingiro District 1,285,941,18 210,664,767 642,970,593 642,970,593 50% 48% WIP;;;;;;;;;
64;Construction of OPD Block & 2 stance;;188,306,650 6;;;;;;
;latrine at Kagaga HC II;;;;;;;;
Construction of OPD Blockk & 2 181,644,150 stance latrine at Kyabahesi HC II 65;;;;;;;;;
66;Construction of OPD Block & 2 stance;;178,124,150;;;;;;
;linned latrine at Burunduma;;;;;;;;
Construction of OPD Block & 2 stance 180,722,150 latrine at Rwantaha 67;;;;;;;;;
68;Construction of OPD Block & a 2;;187,884,025;;;;;;
;stance lined latrine atWanjojera;;;;;;;;
Repairs & maintainence of Health 50,147,600 office block at District HQs 69;;;;;;;;;
70;Construction of a 2 bedroomed twin;;158,462,300;;;;;;
;staff house & a 2 stance lined latrine;;;;;;;;
;at Kyarumunga HC II;;;;;;;;
Construction of a 2 Bedroom twin 157,179,800 staff house & a 2 stance lined latrined at Rwakakwenda HC II 71;;;;;;;;;
72;Construction Works at Female Ward;Mayuge;344,197,767;337,448,791;153,992,434;183,456,357;45%;38%;WIP
;at Kityerera HC IV;District;;;;;;;
Construction of a maternity ward at Buwambo HC IV 73 Nansana Municipality 567,886,800 307,984,868 30,000,000 277,984,868 5% 15% WIP;;;;;;;;;
74;Construction Works at Muwangi HC;Kyankwanzi;370,235,033;370,235,033;185,000,000;185,235,033;50%;48%;WIP
;II;District;;;;;;;
Functionalisation of Kachumbala HC IV 75 Bukedea District 1,773,095,134 822,000,000 951,095,134 46% 33% WIP 1,773,095,13 4;;;;;;;;;
76;Constrn of Operation Theatre at;Mitooma;1,031,793,148;309,537,944;287,870,288;21,667,656;28%;35%;WIP
;Bitereko HC III;District;;;;;;;
Constrn of Operation Theatre & Mortury at Rutete HC III 77 Kabarole District 326,245,846 311,778,181 97,540,822 214,237,359 30% 48% WIP;;;;;;;;;
