Entity Name Amount deducted from staff without letters of undertaking No. of staff witho ut letters of under taking Amount deducted past end date Average length of abnormal dates (years ranging from to) No. of staff with unre alist ic end date s Amount deducted from staff with abnormal end dates Amount deducted from staff with un- approved loans No. of staff with un- appr oved loans No. of staff with loan s ded ucti ons past end date s No. of staff from which Loan deduc tions were over and above the appro ved amou nts Amount deducted over and above the approved amounts Variance Amount between My approvals and active deductions Variance Amount between monthly deduction amounts in active deductions report No. of staff from which Variance between monthly deductio n amounts in active deductio ns report No. of staff with varia nce betw een My appro vals and active deduc tions;;;;;;;;;;;;;;;
Mitooma DLG;0;0;62;45,719,768;0;;0;9;5,866,793;0;0;0;0;69;6,387,294
Mityana DLG 0 0 0 0 0 0 24 24,188,99 35 29,090,341 0 0 0 0;;;;;;;;;;;;;;;
Moroto DLG;212;357,727,173;10;2,481,650;10;13 to 25;14,033,751;6;5,743,878;129;11,601,271;0;0;0;0
Moyo DLG 0 0 0 0 12 9 to 12 7,597,719 8 3,648,417 0 0 0 0 0 0;;;;;;;;;;;;;;;
Mpigi DLG;0;0;18;7,414,431;39;9 to 81;63,569,216;10;3,459,488;0;0;0;0;0;0
Mubende DLG 91 166,168,759 43 9,193,080 99 133,369,505 21 17,460,348 371 109,384,825 353 8,077,282 182 2,314,639;;;;;;;;;;;;;;;
Mukono DLG;0;0;42;14,032,804;106;9 to 278;201,435,493;41;34,824,302;59;2,560,644;421;52,890,921;118;4,807,795
Nakapiripirit DLG 0 0 3 569,402 0 0 8 8,682,765 7 509,132 0 0 0 0;;;;;;;;;;;;;;;
Nakaseke DLG;0;0;8;444,605;19;;1,645,478;0;0;0;0;200;10,489,146;410;26,269,050
Nakasongola DLG 19 12,442,322 49 26,899,425 18 9 to 11 14,657,798 19 12,442,322 158 148,945,206 0 0 0 0;;;;;;;;;;;;;;;
Namayingo DLG;;;2;66,500;15;9 to 19;18,528,565;514;869,660,204;41;3,464,013;;;;
Namisindwa DLG 0 0 0 0 0 0 0 0 471 13,576,059 24 3,696,376;;;;;;;;;;;;;;;
Namutumba DLG;654;1,214,036,533;40;26,531,379;;;;15;10,620,729;;;;;;
Nebbi DLG 190 13,150,776 0 0 0 0;;;;;;;;;;;;;;;
Ngora DLG;475;884,789,375;14;4,069,392;14;9 to 92;17,487,458;;;;;59;72,920,215;1,633;104,639,842
Ntoroko DLG 0 0 7 3,115,781 56 9 to 244 131,695,726 12 10,959,733 24 1,089,314 90 16,776,254 145 12,113,782;;;;;;;;;;;;;;;
Ntungamo DLG;8;10,239,883;0;0;0;;0;0;0;0;0;0;0;0;0
Nwoya DLG 0 0 0 0 0 0 221 27,349,594 0 0 170 6,580,562 0 0;;;;;;;;;;;;;;;
Obongi DLG;0;0;0;0;0;;0;17;2,689,650;0;0;0;0;0;0
Omoro DLG 655 1,039,249,388 21 4,091,933 105 9 to 152 176,511,469 13 7,673,618 42 1,560,767 41 1,021,155 95 3,979,156;;;;;;;;;;;;;;;
Otuke DLG;29;52,814,803;6;12,850,650;24;50 to 92;74,068,773;39;50,030,968;118;14,103,707;0;0;0;0
Oyam DLG 969 1,722,117,890 50 32,570,873 1 1 to 1900 2,158,998 29 30,968,478 131 25,115,090 39 1,430,224 414 24,092,261;;;;;;;;;;;;;;;
Pakwach DLG;0;0;;;;;;;;65;34,271,206;0;0;0;0
Pallisa DLG 0 0 36 8,792,289 18 37 to 125 179,954 0 0 0 0 0 0 0 0;;;;;;;;;;;;;;;
Rakai DLG;0;0;0;0;0;;0;16;3,525,756;0;0;26;323,973;136;3,979,256
Rubanda DLG 0 0 53 73,790,422 0 0 0 0 0 0 76 679,054 344 15,940,122;;;;;;;;;;;;;;;
Rubirizi DLG;0;0;1;103,594;13;9 to 16;24,116,580;312;53,725,444;0;0;13;1,399,075;312;53,725,444
Rukiga DLG 0 0 30 64,812,489 0 0 0 0 0 0 0 0 0 0;;;;;;;;;;;;;;;
