78;Renovation of maternity ward at;Kwania;77,895,965;148,499,903;106,152,432;42,347,472;50%;65%;WIP
;Nambieso Health Centre III;District;;;;;;;
79 Construction of mortuary at Aduku 70,603,938 - Health Centre III;;;;;;;;;
80;Construction of a theatre at Kataraka;Fortportal;685,000,000;685,000,000;316,812,500;368,187,500;46%;20%;WIP
;HC IV;City;;;;;;;
81 Construction of a maternity ward at Karambi HC III;;;;;;;;;
82;Fencing Magada HC III;Namutumba;157,217,180;157,217,180;;84,111,192;46%;10%;Mobilizati
83 Partial Fencing Bulange HC III;;;;;73,105,988;;;;on
84;Renovation of Kiranga HC II;;;;;;;;
85 Renovation of ADHO's Office at District HQs;;;;;;;;;
86;Renovation of Kisumu HC II;;;;;;;;
87 Construction of Placenta Pit at Nagonde HC II;;;;;;;;;
88;Construction of Placenta Pit at;;;;;;;;
;Kiranga HC II;;;;;;;;
Total 14,901,441,74 8 12,168,409 694 6,819,552, 726 968 5,348,856,;;;;;;;;;
