11;Kamuli DLG;159,154,380;39,788,595;39,788,595;0;39,788,595;0;0;0;0;NP;88;NS
12 Kamwenge DLG 257,199,816 64,299,954 78,447,943 0 21,120,600 5 5 0 0 18,639,250 45 800;;;;;;;;;;;;;
13;Kapchorwa DLG;0;0;0;0;0;0;0;0;0;0;51;500
14 Kayunga DLG 235,175,004 58,793,751 35,988,804 22,804,947 0 19 5 0 14 26,503,400 194 1450;;;;;;;;;;;;;
15;Kibaale DLG;103,473,510;25,868,378;25,868,375;0;3,695,482;4;2;0;2;4,418,350;60;NS
16 Kitagwenda DLG 0 0 30,555,000 0 30,555,000 0 0 0 0 NP 43 NS;;;;;;;;;;;;;
17;Kyegegwa DLG;621,067,534;155,266,884;164,315,300;0;0;5;5;0;0;20,906,578;85;200
18 Kyenjojo DLG 398,210,612 99,552,653 99,552,653 0 0 2 2 0 0 11,303,350 78 2034;;;;;;;;;;;;;
19;Kyotera DLG;71,550,500;17,887,625;17,887,625;0;12,297,742;2;2;0;0;8,821,750;60;2054
20 Luuka DLG 0 0 0 0 0 0 0 0 0 0 60 NS;;;;;;;;;;;;;
21;Luwero DLG;37,458,628;9,364,657;7,936,150;1,428,507;0;2;2;0;0;17,673,400;100;NS
22 Lwengo DLG 74,389,000 18,597,250 18,597,250 0 5,313,500 2 2 0 0 11,175,000 40 1478;;;;;;;;;;;;;
23;Manafwa DLG;472,853,178;118,213,295;0;0;0;0;0;0;0;NP;67;NS
24 Masaka DLG 75,808,490 18,952,123 24,661,850 0 4,110,308 2 2 0 0 9,312,194 50 450;;;;;;;;;;;;;
25;Mayuge DLG;93,296,396;23,324,099;23,324,401;0;23,324,401;0;0;0;0;0;259;1795
26 Mbale DLG 731,116,421 182,779,105 123,475,656 59,303,449 (274,390,347) 2 0 2 0 NP 29 NS;;;;;;;;;;;;;
27;Mityana DLG;736,645,518;184,161,380;189,710,836;0;0;3;2;1;0;NP;52;NS
28 Mpigi DLG 242,976,116 60,744,029 29,967,904 30,776,125 (17,481,277) 12 8 0 4 21,552,821 56 NS;;;;;;;;;;;;;
29;Mubende DLG;549,606,541;137,401,635;132,383,729;5,017,906;75,017,446;5;5;0;0;NP;113;783
30 Mukono DLG 842,077,809 210,519,452 122,920,051 87,599,401 40,973,350 4 4 0 0 25,040,290 171 NS;;;;;;;;;;;;;
31;Nakaseke DLG;412,390,242;103,097,561;110,919,223;0;0;4;4;0;0;21,340,750;60;3498
32 Nwoya DLG 37,636,769 9,409,192 18,662,500 0 0 0 0 0 0 0 120 NS;;;;;;;;;;;;;
33;Omoro DLG;133,915,000;33,478,750;36,983,750;0;0;6;6;0;0;0;55;480
34 Rakai DLG 85,094,056 21,273,514 21,273,514 0 17,284,730 3 0 3 127 549;;;;;;;;;;;;;
35;Rukungiri DLG;874,541,222;218,635,306;254,095,279;0;0;45;42;0;3;NP;60;44
36 Sembabule DLG 38,966,500 9,741,625 9,741,625 0 8,118,021 2 2 0 0 6,299,125 145 652;;;;;;;;;;;;;
37;Sironko DLG;0;0;0;0;0;0;0;0;0;NP;224;NS
38 Tororo DLG 200,411,950 50,102,988 45,964,915 4,138,073 45,964,915 0 0 0 0 NP 215 NS;;;;;;;;;;;;;
39;Wakiso DLG;30,695,563;7,673,891;64,219,332;0;17,514,363;5;3;0;2;17,929,213;200;4289
9,393,753,30 2,348,438,32 2,212,604,76 211,278,9 168,172,295 153 4 7 8 08 117 4 32 288,704,9 36 3,681 31,487;;;;;;;;;;;;;
