SN Entity Name Under payment of salaries No. of staff who were underpai d Under payment of pension Under payment of gratuity Total No. of staff/pensioner s who were underpaid Under payment of salaries pension and gratuity No. of pensioner s who were underpaid No. of pensioner s who were underpaid;;;;;;;;;
10 Bududa DLG 94 8,982,815 5 3,316,086 6 203,674,935 105 215,973,836;;;;;;;;;
11;Bugiri DLG;-;-;10;21,022,685;3;121,501,539;13;142,524,224
12 Bugweri DLG 3 5,125,601 5 12,842,774 9 137,397,413 17 155,365,788;;;;;;;;;
13;Buikwe DLG;-;-;15;26,058,557;5;177,892,183;20;203,950,740
14 Bukedea DLG 7 5,313,652 2 34,969,922 7 209,591,259 16 249,874,833;;;;;;;;;
15;Bukomansimbi DLG;12;9,047,876;90;38,756,917;-;-;102;47,804,793
16 Bukwo DLG 23 35,669,357 23 35,669,357;;;;;;;;;
17;Bulambuli DLG;-;-;187;71,610,435;1;23,566,380;188;95,176,815
18 Buliisa DLG 3 2,708,435 47 30,073,266 2 5,425,611 52 38,207,312;;;;;;;;;
19;Bundibugyo DLG;16;9,178,494;4;6,026,349;-;-;20;15,204,843
20 Bunyangabu DLG 2 2,530,857 1 569,320 - - 3 3,100,177;;;;;;;;;
21;Bushenyi DLG;-;-;30;12,376,617;8;305,004,490;38;317,381,107
22 Busia DLG - - 2 1,577,517 2 1,577,517;;;;;;;;;
23;Butaleja DLG;68;24,180,690;3;3,555,982;;;71;27,736,672
24 Butambala DLG 3 6,481,445 2 2,705,527 6 192,512,007 11 201,698,979;;;;;;;;;
25;Butebo DLG;50;34,887,626;1;25,466,082;64;95,318,676;115;155,672,384
26 Buvuma DLG 4 2,230,712 14 14,964,616 - - 18 17,195,328;;;;;;;;;
27;Dokolo DLG;46;15,742,029;162;110,730,395;23;424,425,296;231;550,897,720
28 Gomba DLG 3 2,284,615 1 2,358,948 - - 4 4,643,563;;;;;;;;;
29;Gulu DLG;5;4,002,323;49;65,798,802;1;20,453,988;55;90,255,113
30 Hoima DLG 7 4,712,242 6 1,870,184 3 3,484,671 16 10,067,097;;;;;;;;;
31;Ibanda DLG;-;-;-;-;1;28,231,704;1;28,231,704
32 Iganga DLG 4 3,935,595 4 2,431,370 - - 8 6,366,965;;;;;;;;;
33;Jinja DLG;-;-;27;8,998,580;13;101,566,787;40;110,565,367
34 Kabarole DLG - - 76 101,124,563 - - 76 101,124,563;;;;;;;;;
35;Kaberamaido DLG;-;-;18;29,363,296;-;-;18;29,363,296
36 Kagadi DLG 22 42,058,162 - - - - 22 42,058,162;;;;;;;;;
37;Kakumiro DLG;3;1,421,228;4;5,136,250;3;113,235,820;10;119,793,298
38 Kalaki DLG - - - - 8 326,315,306 8 326,315,306;;;;;;;;;
39;Kalangala DLG;-;-;3;17,200,004;1;92,516,779;4;109,716,783
40 Kaliro DLG 78 113,866,976 126 402,997,247 204 516,864,223;;;;;;;;;
41;Kalungu DLG;-;-;15;7,589,987;-;-;15;7,589,987
42 Kamuli DLG - - - - 5 149,741,260 5 149,741,260;;;;;;;;;
43;Kamwenge DLG;3;187,280;-;-;6;5,293,037;9;5,480,317
