SN Entity Name No. of Total staff with inconsisten cy between Interface files and payroll Variance arising from with inconsistency between Interface files and payroll No. of pensioner s with inconsist ency between Interface files and payroll Variance arising from inconsisten cy between Interface files and payroll No. of staff paid salaries off the IPPS payroll Amount of salary paid Off IPPS payroll Amount of pension paid off the IPPS No. of pensione rs paid off the IPPS payroll;;;;;;;;;;
61;Kiruhura DLG;210;90,796,758;0;0;90,796,758;6;12,385,198;0;0
62 Kiryandongo DLG 0 21,184,352 0 0 21,184,352 21 24,991,785 3 14,805,596;;;;;;;;;;
63;Kisoro DLG;0;0;0;0;0;0;0;0;0
64 Kitagwenda DLG 135 33,547,633 0 0 33,547,633 10 71,145,067 0 0;;;;;;;;;;
65;Kitgum DLG;0;0;0;0;0;0;0;9;6,137,612
66 Koboko DLG 0 1,518,252,806 0 0 1,518,252,806 0 0 0 0;;;;;;;;;;
67;Kole DLG;0;10,355,488;0;0;10,355,488;0;0;0;0
68 Kumi DLG 0 359,718,520 0 0 359,718,520 0 0 0 0;;;;;;;;;;
69;Kwania DLG;0;154,871,882;0;0;154,871,882;6;32,886,550;0;0
70 Kween DLG 0 55,599,052 0 0 55,599,052 10 28,300,684 0 0;;;;;;;;;;
71;Kyankwanzi DLG;0;13,939,308;0;0;13,939,308;2;1,438,316;0;0
72 Kyegegwa DLG 14 2,402,866 0 0 2,402,866 0 0 0 0;;;;;;;;;;
73;Kyenjojo DLG;4;4,927,544;0;0;4,927,544;0;0;0;0
74 Kyotera DLG 505 297,936,427 0 0 297,936,427 0 0 0 0;;;;;;;;;;
75;Lamwo DLG;232;19,238,569;0;0;19,238,569;12;67,609,678;0;0
76 Lira DLG 0 0 0 0 0 476 1,247,047,602 71 184,126,452;;;;;;;;;;
77;Luuka DLG;0;320,651,077;0;0;320,651,077;7;8,899,399;0;0
78 Luwero DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
79;Lwengo DLG;49;33,988,738;0;0;33,988,738;14;14,829,645;0;0
80 Lyantonde DLG 52 11,380,969 0 0 11,380,969 33 158,742,468 1 40,537,322;;;;;;;;;;
81;Madi-Okollo DLG;0;607,565,504;0;0;607,565,504;21;38,477,728;0;0
82 Manafwa DLG 0 237,407,527 0 0 237,407,527 0 0 0 0;;;;;;;;;;
83;Maracha DLG;0;49,015,193;0;0;49,015,193;67;62,244,541;0;0
84 Masaka DLG 219 47,056,562 0 0 47,056,562 2 8,321,464 0 0;;;;;;;;;;
85;Masindi DLG;0;1,899,055,822;0;0;1,899,055,822;1;7,644,944;0;0
86 Mayuge DLG 0 233,491,206 0 0 233,491,206 319 147,961,186 48 33,074,030;;;;;;;;;;
87;Mbale DLG;0;227,212,724;0;0;227,212,724;0;0;0;0
88 Mbarara DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
89;Mitooma DLG;0;0;0;0;0;0;0;0;0
90 Mityana DLG 139 128,671,074 0 0 128,671,074 0 0 0 0;;;;;;;;;;
91;Moroto DLG;0;42,890,728;0;0;42,890,728;198;13,816,711;7;4,415,528
