SN Entity Name Strategic plan Local Revenue Overall budget performance;;;;;;;;;;
Approved Budget warrants Uncollected % Approved warrants Variance collecte Budget d %fu ndin g;;;;;;;;;;
109;Mayuge DLG;Approved;724,322,519;456,810,854;267,511,665;63%;53,568,618,370;50,196,940,048;3,371,678,322;94%
110 Mbale DLG Not approved 800,000,000 686,232,207 113,767,793 86% 46,450,291,143 44,800,253,897 1,650,037,246 96%;;;;;;;;;;
111;Mbale City City;Not approved;1,568,910,374;1,568,910,374;0;100%;54,509,554,490;54,509,554,490;0;100%
112 Mbarara City Not approved 8,566,518,000 3,398,240,515 5,168,277,48 40% 62,491,147,300 56,163,575,756 6,327,571,544 90% 5;;;;;;;;;;
113;Mbarara DLG;Approved;1,007,858,860;954,417,054;53,441,806;95%;33,082,716,235;31,389,570,562;1,693,145,673;95%
114 Mitooma DLG Not approved 272,401,746 269,679,336 2,722,410 99% 32,983,982,695 31,033,824,747 1,950,157,948 94%;;;;;;;;;;
115;Mityana MC;Not approved;995,000,000;779,374,454;215,625,546;78%;10,826,159,234;10,286,862,838;539,296,396;95%
116 Mityana DLG Approved 747,345,912 625,146,266 122,199,646 84% 35,784,709,307 34,739,884,076 1,044,825,231 97%;;;;;;;;;;
117;Moroto DLG DLG;Not approved;243,760,982;342,226,155;-98,465,173;140%;20,613,541,507;17,127,913,866;3,485,627,641;83%
118 Moroto MC MC Not approved 618,500,000 260,196,220 358,303,780 42% 11,024,543,654 7,880,859,977 3,143,683,677 71%;;;;;;;;;;
119;Moyo DLG;Approved;829,500,000;411,237,981;418,262,019;50%;44,584,616,735;29,195,416,011;15,389,200,724;65%
120 Mpigi DLG Approved 957,989,671 865,631,127 92,358,544 90% 37,272,189,134 34,682,719,605 2,589,469,529 93%;;;;;;;;;;
121;Mubende DLG;Approved;897,123,586;788,963,995;108,159,591;88%;41,878,459,183;39,647,152,652;2,231,306,531;95%
122 Mubende MC Approved 1,258,773,000 1,159,993,876 98,779,124 92% 31,893,250,334 31,308,367,407 584,882,927 98%;;;;;;;;;;
123;Mukono DLG;Not approved;3,250,400,000;1,868,063,243;1,382,336,75;57%;67,010,957,541;57,834,245,531;9,176,712,010;86%
;;;;;7;;;;;
124 Mukono MC Not approved 4,651,046,000 4,018,792,123 632,253,877 86% 25,270,241,648 22,502,726,784 2,767,514,864 89%;;;;;;;;;;
125;Nakapiripit DLG;Not approved;148,005,600;129,336,434;18,669,166;87%;17,779,167,160;13,792,230,712;3,986,936,448;78%
126 Nakaseke DLG Not approved 1,516,272,349 1,325,697,252 190,575,097 87% 37,474,541,645 35,726,792,690 1,747,748,955 95%;;;;;;;;;;
127;Nakasongola DLG;Approved;1,100,421,788;1,155,000,000;-54,578,212;105%;32,965,788,169;31,387,140,337;1,578,647,832;95%
128 Namayingo DLG Not approved 202,098,818 235,642,000 -33,543,182 117% 46,944,170,455 30,764,093,834 16,180,076,621 66%;;;;;;;;;;
129;Namisindwa DLG;Not approved;350,000,000;268,677,925;81,322,075;77%;32,873,774,708;30,276,933,318;2,596,841,390;92%
130 Namutumba DLG Not approved 294,000,000 165,355,470 128,644,530 56% 35,419,977,308 33,545,828,238 1,874,149,070 95%;;;;;;;;;;
131;Nansana MC;Approved;6,444,898,000;5,366,264,000;1,078,634,00;83%;30,743,976,884;28,771,493,569;1,972,483,315;94%
;;;;;0;;;;;
132 Napal DLG DLG Approved 180,000,000 108,077,220 71,922,780 60% 21,809,898,127 17,502,475,644 4,307,422,483 80%;;;;;;;;;;
133;Nebbi DLG;Approved;784,439,352;483,164,250;301,275,102;62%;37,287,079,756;32,975,573,035;4,311,506,721;88%
134 Nebbi MC Not approved 598,670,000 512,596,367 86,073,633 86% 7,451,912,548 5,315,320,126 2,136,592,422 71%;;;;;;;;;;
135;Ngora DLG;Approved;647,768,999;110,233,463;537,535,536;17%;26,819,375,753;22,984,373,307;3,835,002,446;86%
136 Njeru MC Not approved 3,132,174,000 1,896,542,360 1,235,631,64 61% 14,109,935,127 12,513,270,328 1,596,664,799 89% 0;;;;;;;;;;
137;Ntoroko DLG;Not approved;779,720,000;670,444,400;109,275,600;86%;25,698,930,531;23,319,020,690;2,379,909,841;91%
138 Ntugamo MC Approved 728,285,983 455,038,837 273,247,146 62% 10,392,027,149 10,006,372,814 385,654,335 96%;;;;;;;;;;
