Misclassification Unaccounted for funds;;;;;;;;;;
SN Entity Name Salary, Irrigation Exgratia Total pension and gratuity Other expenditure lines Administrative expenses PDM Support to Organized Groups for improvement of people’s livelihood Total;;;;;;;;;;
64 Kapelebyong DLG 0 0 0 39,863,133 39,863,133 0 0 0 0;;;;;;;;;;
65;Kasese MC;0;0;0;0;0;0;0;0;0
66 Kasese DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
67;Kassanda DLG;0;0;0;0;0;0;0;0;0
68 Katakwi DLG 132,328,151 0 0 50,959,223 183,287,374 341,474,505 0 0 341,474,505;;;;;;;;;;
69;Kayunga DLG;0;789,024,134;0;0;789,024,134;0;0;0;0
70 Kazo DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
71;Kibaale DLG;243,808,456;343,540,164;0;248,884,954;836,233,574;0;0;0;0
72 Kiboga DLG 70,074,082 0 0 0 70,074,082 0 0 0 0;;;;;;;;;;
73;Kibuku DLG;0;0;0;0;0;0;0;0;0
74 Kikuube DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
75;Kira MC;0;0;0;0;0;0;0;0;0
76 Kiruhura DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
77;Kiryandongo DLG;44,741,863;0;0;89,110,097;133,851,960;0;0;0;0
78 Kisoro DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
79;Kisoro MC;0;0;0;0;0;0;0;0;0
80 Kitagwenda DLG 0 240,883,874 0 143,211,756 384,095,630 0 0 0 0;;;;;;;;;;
81;Kitgum DLG;0;0;334,000;91,922,468;92,256,468;0;241,516,100;0;241,516,100
82 Koboko MC 0 0 0 0 0 0 0 0 0;;;;;;;;;;
83;Koboko DLG;0;0;0;0;0;0;11,300,040;0;11,300,040
84 Kole DLG 138,070,066 0 0 0 138,070,066 59,029,970 0 0 59,029,970;;;;;;;;;;
85;Kumi DLG;210,121,994;0;0;139,189,753;349,311,747;21,161,426;0;0;21,161,426
86 Kumi MC 0 0 0 31,406,925 31,406,925 0 0 0 0;;;;;;;;;;
87;Kwania DLG;46,649,913;0;0;0;46,649,913;0;0;0;0
88 Kween DLG 0 0 0 0 0 0 0 0 0;;;;;;;;;;
89;Kyankwanzi DLG;5,461,304;0;0;152,595,184;158,056,488;0;0;0;0
90 Kyegegwa DLG 3,330,693 921,616,030 0 0 924,946,723 0 0 0 0;;;;;;;;;;
91;kyenjojo DLG;0;816,122,258;0;0;816,122,258;0;0;0;0
92 Kyotera DLG 0 206,116,680 0 0 206,116,680 0 0 0 0;;;;;;;;;;
93;Lamwo DLG;106,680,222;0;0;0;106,680,222;31,862,000;0;0;31,862,000
94 Lira City 0 0 0 0 0 0 0 0 0;;;;;;;;;;
95;Lira DLG;98,046,752;0;0;0;98,046,752;0;0;0;0
