,D. LABORATORY DEPARTMENT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,Refrigerator for reagents,1,Keep reagents below room temperature, , , , , 
1,Blood bank refrigerator,1,Keeping blood at recommended temperature, , , , , 
2,Microscopes,2,For microscopic examination of samples, , , , , 
3,Electric centrifuges (bench top),5,Separation of fluids from densities, , , , , 
4,Autoclave (in wash up),1,For sterilization, , , , , 
5,Bunsen burner,1,For drying slides, , , , , 
6,Colorimeter,1,Measuring the intensity of colour, , , , , 
7,Haematology analyser (CBC),1,Complete blood count machine, , , , , 
8,Chemistry analyser,1,For determination of the concentration of analyses, , , , , 
9,BUKASA HEALTH CENTER IV, , , , , , , 
10,A. THEATRE, , , , , , , 
11,Name Of Equipment,Quantit y,Use/Purpose, ,Actual/ Availabl e,Existen ce,Condit ion,Remark s
12,C/s sets (caesarean sets),5,For C-Section operations, ,0, , , 
13,Oxygen cylinders (large size),3,For administration of Oxygen, ,0, , , 
14,Hernia sets,4,For operation and management of Hernia, ,0, , , 
15,D&C sets,3,Used for dilatation and curettage, ,0, , , 
16,MVA,3,For manual volume aspiration, ,0, , , 
17,Ambu bag, , , , , , , 
18,1. Neonatal,2,Used to provide positive pressure ventilation, ,0, , , 
19,2. Adult,2,Used to provide positive pressure ventilation, ,0, , , 
20,Penguin sucker,2,Helps in clearing the babies airway, ,0, , , 
21,Nasal oxygen prongs,10,Used to deliver supplementary oxygen, ,0, , , 
22,Laparotomy set,2,Surgical incision into the abdomen for evacuation or preparation for surgery, ,0, , , 
